variation_length_over_spacing,averaging_fraction,expected_count_in_cube
10.0,0.03,0.026999999999999996
10.232929922807541,0.03,0.028931021241415375
10.471285480508996,0.03,0.031000147780415842
10.715193052376065,0.03,0.03321725681193431
10.964781961431852,0.03,0.03559293194102301
11.220184543019636,0.03,0.038138513704814386
11.481536214968829,0.03,0.040866153707777624
11.748975549395297,0.03,0.04378887262869112
12.02264434617413,0.03,0.04692062237623316
12.302687708123818,0.03,0.050276352689897455
12.589254117941675,0.03,0.053872082504159785
12.882495516931343,0.03,0.05772497641656029
13.182567385564074,0.03,0.06185342662472991
13.48962882591654,0.03,0.06627714072349589
13.803842646028853,0.03,0.07101723578117537
14.125375446227547,0.03,0.07609633914414031
14.454397707459272,0.03,0.08153869645085438
14.791083881682072,0.03,0.08737028737099957
15.13561248436208,0.03,0.09361894962218348
15.488166189124811,0.03,0.10031451185623655
15.848931924611133,0.03,0.10748893604944419
16.218100973589298,0.03,0.11517647007642995
16.595869074375607,0.03,0.12341381119601624
16.982436524617444,0.03,0.13224028122948045
17.378008287493753,0.03,0.14169801426743853
17.78279410038923,0.03,0.15183215780139425
18.197008586099834,0.03,0.1626910882400765
18.620871366628677,0.03,0.17432664183935706
19.054607179632473,0.03,0.18679436214811287
19.498445997580454,0.03,0.20015376515124772
19.952623149688797,0.03,0.21446862337555606
20.417379446695296,0.03,0.22980727031464168
20.892961308540396,0.03,0.24624292662609565
21.379620895022324,0.03,0.2638540496580689
21.87761623949553,0.03,0.28272470797374305
22.3872113856834,0.03,0.30294498266153025
22.908676527677734,0.03,0.3246113973467016
23.442288153199225,0.03,0.34782737895714627
23.98832919019491,0.03,0.3727037514427791
24.547089156850312,0.03,0.39935926480541634
25.11886431509581,0.03,0.42792116196450103
25.703957827688633,0.03,0.45852578616467066
26.302679918953814,0.03,0.4913192318246951
26.915348039269155,0.03,0.5264580419346719
27.542287033381662,0.03,0.5641099553305903
28.183829312644534,0.03,0.6044547074134514
28.84031503126606,0.03,0.6476848881352624
29.512092266663856,0.03,0.694006861347593
30.19951720402016,0.03,0.7436417499013046
30.902954325135905,0.03,0.7968264911999241
31.622776601683793,0.03,0.8538149682454623
32.359365692962825,0.03,0.9148792215758467
33.11311214825911,0.03,0.9803107478792739
33.884415613920254,0.03,1.0504218914845573
34.673685045253166,0.03,1.125547335369906
35.48133892335755,0.03,1.2060456988076007
36.30780547701014,0.03,1.2923012492711246
37.15352290971726,0.03,1.3847257367766856
38.018939632056124,0.03,1.4837603594155866
38.90451449942807,0.03,1.589877869460091
39.810717055349734,0.03,1.7035848300965226
40.73802778041128,0.03,1.8254240335583511
41.68693834703355,0.03,1.9559770922024744
42.657951880159274,0.03,2.095867214897468
43.65158322401661,0.03,2.245762181977214
44.668359215096324,0.03,2.406377532961115
45.708818961487516,0.03,2.578479982257879
46.77351412871981,0.03,2.7628910791580346
47.86300923226383,0.03,2.9604911295865977
48.97788193684461,0.03,3.172223398336728
50.11872336272722,0.03,3.3990986118442508
51.28613839913648,0.03,3.6421997829974635
52.48074602497726,0.03,3.902687381014003
53.70317963702527,0.03,4.181804871063698
54.954087385762456,0.03,4.480884650081413
56.23413251903491,0.03,4.801354407105092
57.543993733715695,0.03,5.144743938500768
58.8843655355589,0.03,5.51269245060773
60.25595860743578,0.03,5.9069563846637925
61.65950018614822,0.03,6.32941780136379
63.09573444801933,0.03,6.782093365075866
64.56542290346556,0.03,7.267143970602674
66.06934480075961,0.03,7.786885058441837
67.60829753919819,0.03,8.3437976677867
69.18309709189366,0.03,8.940540280029964
70.79457843841381,0.03,9.579961509306541
72.44359600749902,0.03,10.265113700655158
74.13102413009177,0.03,10.999267500711051
75.8577575029184,0.03,11.78592747048449
77.6247116628692,0.03,12.628848814754365
79.43282347242817,0.03,13.532055307936359
81.28305161640995,0.03,14.499858501996831
83.17637711026708,0.03,15.536878308103224
85.11380382023764,0.03,16.648065050260005
87.09635899560806,0.03,17.83872309620509
89.12509381337455,0.03,19.114536178371715
91.20108393559097,0.03,20.481594525787955
93.3254300796991,0.03,21.946423936430676
95.49925860214358,0.03,23.516016928814167
97.72372209558107,0.03,25.197866121518757
100.0,0.03,27.0
102.32929922807547,0.03,28.931021241415422
