speed_m_s,beta,core_radius_m,assumed_variation_length_m,air_mach,air_knudsen_proxy,air_reynolds_proxy,air_collision_rate_proxy,water_mach,water_length_over_mean_spacing,water_molecules_in_assumed_averaging_cube
0.776365403051818,1.0,0.0012880532750031053,0.0012880532750031053,0.0022504403801961777,5.224939162538735e-05,65.0291419823062,8.71851884476365e-08,0.0005187183855496483,4145168.3456961825,7.122402603226035e+16
0.8151888400969576,1.0,0.0012267096294903415,0.0012267096294903415,0.002362977376410774,5.4862208938525245e-05,65.0291419823062,9.612288876661771e-08,0.0005446577570187801,3947754.3547348976,6.1524821706562584e+16
0.8559537073733683,1.0,0.0011682874802524787,0.0011682874802524787,0.0024811419713960167,5.760568450622769e-05,65.0291419823062,1.0597682828189191e-07,0.0005718942696939257,3759742.221690367,5.3146443649644216e+16
0.8987570893132842,1.0,0.0011126476907838054,0.0011126476907838054,0.0026052155825434177,6.048635211078403e-05,65.0291419823062,1.168409343164687e-07,0.0006004927892681632,3580684.1822888614,4.590902328943321e+16
0.9437009252166703,1.0,0.0010596577509663918,0.0010596577509663918,0.0027354936999869637,6.351107226708191e-05,65.0291419823062,1.2881876305669747e-07,0.00063052142515092,3410153.7970678317,3.965718634503269e+16
0.9908922520269197,1.0,0.0010091914614878156,0.0010091914614878156,0.0028722865903338967,6.66870485614117e-05,65.0291419823062,1.4202448664533327e-07,0.0006620516926753792,3247744.9357799864,3.4256717222878316e+16
1.0404434592469507,1.0,0.0009611286332885184,0.0009611286332885184,0.003015920035586716,7.002184480731978e-05,65.0291419823062,1.56583981465437e-07,0.000695158683417334,3093070.810165205,2.959167765151446e+16
1.0924725566028064,1.0,0.0009153548013230077,0.0009153548013230077,0.003166736109016202,7.352340305936886e-05,65.0291419823062,1.726360279885861e-07,0.0007299212440311197,2945763.052786774,2.556191769730715e+16
1.147103455092214,1.0,0.0008717609519532059,0.0008717609519532059,0.0033250939898332526,7.7200062527706e-05,65.0291419823062,1.9033363362429513e-07,0.0007664221640285307,2805470.8397381217,2.208092572711785e+16
1.204466262087443,1.0,0.000830243263324715,0.000830243263324715,0.0034913708185997285,8.10605794384849e-05,65.0291419823062,2.0984549117999015e-07,0.0008047483729479347,2671860.0551307257,1.9073971160538492e+16
1.2646975911952714,1.0,0.0007907028581076805,0.0007907028581076805,0.0036659625954155424,8.511414788744177e-05,65.0291419823062,2.3135758683351508e-07,0.0008449911473831539,2544612.495373342,1.6476500139948718e+16
1.3279408876120131,1.0,0.0007530455680133947,0.0007530455680133947,0.003849285123021081,8.937042173628849e-05,65.0291419823062,2.5507497294529206e-07,0.0008872463283651695,2423425.11134751,1.4232749676342994e+16
1.394346769748457,1.0,0.0007171817095258177,0.0007171817095258177,0.004041774997061008,9.383953760407116e-05,65.0291419823062,2.812237226085047e-07,0.0009316145496143554,2308009.2866745177,1.2294550519153648e+16
1.4640733879383325,1.0,0.0006830258703139001,0.0006830258703139001,0.004243890645867867,9.853213900824979e-05,65.02914198230619,3.100530845679931e-07,0.000978201477206845,2198090.1503549526,1.0620293049857088e+16
1.5372868010845833,1.0,0.0006504967058160405,0.0006504967058160405,0.004456113422241779,0.00010345940171299245,65.0291419823062,3.418378590484523e-07,0.001027118061225811,2093405.9221438586,9174033998975930.0
1.614161372140459,1.0,0.0006195167455122221,0.0006195167455122221,0.004678948749826381,0.00010863306034505289,65.0291419823062,3.768810171382253e-07,0.001078480799996982,1993707.2891024554,7924724809312017.0
1.6948801833673017,1.0,0.0005900122084224566,0.0005900122084224566,0.004912927326811213,0.00011406543634061942,65.02914198230619,4.155165886965456e-07,0.0011324120175377,1898756.8118416292,6845545079769222.0
1.779635472357972,1.0,0.0005619128273921318,0.0005619128273921318,0.0051586063898272005,0.0001197694672896915,65.0291419823062,4.5811284631162863e-07,0.001189040154880265,1808328.35904314,5913326780014828.0
1.868629089864361,1.0,0.0005351516817457806,0.0005351516817457806,0.005416571041045364,0.00012575873774787149,65.0291419823062,5.050758156589735e-07,0.0012485000759633997,1722206.568911786,5108056874912782.0
1.9620729805193178,1.0,0.0005096650379107315,0.0005096650379107315,0.005687435641639262,0.0001320475115889501,65.0291419823062,5.568531457204456e-07,0.0013109333888203121,1640186.336275971,4412447680978366.5
2.0601896875978736,1.0,0.00048539219763107027,0.00048539219763107027,0.005971845274929844,0.0001386507659753369,65.0291419823062,6.139383757549077e-07,0.0013764887828283051,1562072.32411514,3811565731186939.5
2.1632128830198925,1.0,0.0004622753534104226,0.0004622753534104226,0.006270477282697298,0.00014558422702723876,65.0291419823062,6.7687563969298e-07,0.0014453223828231115,1487678.4983507611,3292511180537629.0
2.2713879238563686,1.0,0.0004402594508392901,0.0004402594508392901,0.006584042878318678,0.0001528644072755336,65.0291419823062,7.462648527980018e-07,0.0015175981209212955,1416827.684792937,2844140869791448.0
2.3849724366647562,1.0,0.00041929205747905465,0.00041929205747905465,0.0069132888405731875,0.00016050864498753809,65.0291419823062,8.227674300322434e-07,0.0015934881269362565,1349351.1471874574,2456829102064637.0
2.5042369310449457,1.0,0.0003993232379903961,0.0003993232379903961,0.00725899929214897,0.00016853514545932485,65.0291419823062,9.071125906355622e-07,0.001673173138317628,1285088.1853584065,2122260996585005.2
2.6294654438771268,1.0,0.0003803054352087273,0.0003803054352087273,0.0076219975670871,0.00017696302437293063,65.0291419823062,1.0001043090114951e-06,0.0017568429305903739,1223885.7524892564,1833253983291299.0
2.760956215775833,1.0,0.0003621933568834225,0.0003621933568834225,0.00800314817161019,0.00018581235332171356,65.0291419823062,1.1026289781763166e-06,0.00184469676931871,1165598.0906309825,1583603606088699.2
2.8990224013711816,1.0,0.00034494386781110055,0.00034494386781110055,0.008403358843005465,0.00019510420761228048,65.02914198230621,1.215663858818724e-06,0.0019369438846712178,1110086.3835691386,1367950324436114.5
3.043992815108914,1.0,0.0003285158871060673,0.0003285158871060673,0.008823582711465721,0.0002048607164568299,65.0291419823062,1.3402863945062365e-06,0.002033803969717385,1057218.4262231605,1181664453737078.5
3.1962127143453958,1.0,0.00031287029036326396,0.00031287029036326396,0.00926482057003669,0.00021510511567544513,65.0291419823062,1.4776844818304296e-06,0.002135507703642283,1006868.3097905624,1020746774413268.9
3.3560446216025763,1.0,0.00029796981648071196,0.00029796981648071196,0.009728123258076902,0.00022586180303385336,65.0291419823062,1.6291677933855969e-06,0.002242297301125457,958916.121886162,881742675917814.8
3.5238691879411803,1.0,0.00028377897891954665,0.00028377897891954665,0.010214594163906406,0.0002371563963484414,65.02914198230621,1.7961802615109791e-06,0.00235442708919243,913247.6609622013,761667992516167.2
3.700086099508285,1.0,0.00027026398119030064,0.00027026398119030064,0.01072539185260455,0.0002490157944969076,65.0291419823062,1.980313841791033e-06,0.002472164112912603,869754.164329237,657944938663353.2
3.8851150294183263,1.0,0.00025739263636415896,0.00025739263636415896,0.011261732825215167,0.00026146824147985336,65.0291419823062,2.1833236875068446e-06,0.0025957887713860947,828332.0491300545,568346768626404.8
4.0793966372344865,1.0,0.00024513429041749717,0.00024513429041749717,0.011824894415930386,0.00027454339368588096,65.0291419823062,2.4071448796808947e-06,0.002725595485534152,788882.6656497221,490949972294493.6
4.283393618430794,1.0,0.00023345974922714353,0.00023345974922714353,0.012416217834152888,0.0002882723905203924,65.0291419823062,2.6539108721852204e-06,0.0028618933992835206,751312.0623742765,424092980907583.4
4.497591806334333,1.0,0.00022234120904249618,0.00022234120904249618,0.01303711135868157,0.0003026879285663006,65.0291419823062,2.925973827730975e-06,0.003005007115814715,715530.7622385037,366340496190505.3
4.7225013291718705,1.0,0.00021175219026891374,0.00021175219026891374,0.013689053691627677,0.0003178243394532669,65.0291419823062,3.2259270385811005e-06,0.003155277470627579,681453.549529945,316452677103729.7
4.958657824976534,1.0,0.0002016674744046757,0.0002016674744046757,0.014373597480049134,0.00033371767162092075,65.0291419823062,3.556629645699433e-06,0.0033130623432652915,648999.2669416111,273358522706266.9
5.206623717247903,1.0,0.00019206304398132617,0.00019206304398132617,0.015092373013689986,0.00035040577617078387,65.0291419823062,3.921233891958049e-06,0.0034787375096299597,618090.6222900816,236132879709084.2
