frame,time_ratio,radial_width,axial_width,peak,energy_ratio
24,0.21083546298861738,0.4591682295070265,0.918336459014053,2.177851026569549,0.4591682295070265
25,0.19759440716631393,0.44451592453624644,0.8890318490724929,2.2496381902251934,0.44451592453624644
26,0.18518492662458286,0.43033118249155833,0.8606623649831167,2.323791629995618,0.43033118249155833
27,0.1735547961136752,0.41659908318871175,0.8331981663774235,2.4003893439847497,0.41659908318871175
28,0.1626550702753624,0.40330518255455433,0.8066103651091087,2.4795119013000333,0.40330518255455433
29,0.15243987765659017,0.39043549743407063,0.7808709948681413,2.5612425267988375,0.39043549743407063
30,0.14286622765964926,0.3779764908822363,0.7559529817644726,2.6456671886283094,0.3779764908822363
31,0.1338938296164156,0.36591505792521795,0.7318301158504359,2.732874688650747,0.36591505792521795
32,0.12548492322523297,0.3542385117759403,0.7084770235518806,2.822956755849604,0.3542385117759403
33,0.11760411963683251,0.34293457048952136,0.6858691409790427,2.9160081428143907,0.34293457048952136
34,0.11021825252050102,0.33199134404454134,0.6639826880890827,3.0121267254059365,0.33199134404454134
35,0.10329623848370932,0.3213973218365538,0.6427946436731076,3.1114136057068604,0.3213973218365538
36,0.09680894625777765,0.31114136057068603,0.6222827211413721,3.213973218365538,0.31114136057068603
37,0.0907290740990469,0.30121267254059364,0.6024253450811873,3.3199134404454136,0.30121267254059364
38,0.0850310348895983,0.291600814281439,0.583201628562878,3.4293457048952143,0.291600814281439
39,0.07969084845396919,0.2822956755849604,0.5645913511699208,3.5423851177594026,0.2822956755849604
40,0.07468604063867915,0.27328746886507466,0.5465749377301493,3.65915057925218,0.27328746886507466
41,0.06999554872984423,0.26456671886283095,0.5291334377256619,3.7797649088223633,0.26456671886283095
42,0.06559963281082894,0.25612425267988376,0.5122485053597675,3.904354974340706,0.25612425267988376
43,0.06147979268688505,0.2479511901300033,0.4959023802600066,4.033051825545543,0.2479511901300033
44,0.057618690027155355,0.24003893439847493,0.48007786879694986,4.165990831887118,0.24003893439847493
45,0.0540000753963769,0.23237916299956177,0.46475832599912353,4.303311824915584,0.23237916299956177
46,0.050608719869196815,0.2249638190225193,0.4499276380450386,4.445159245362465,0.2249638190225193
47,0.047430350939300384,0.2177851026569549,0.4355702053139098,4.591682295070266,0.2177851026569549
48,0.04445159245362465,0.21083546298861738,0.42167092597723477,4.743035093930039,0.21083546298861738
49,0.04165990831887118,0.2041075900569873,0.4082151801139746,4.899376841991999,0.2041075900569873
50,0.039043549743407055,0.19759440716631393,0.39518881433262787,5.0608719869196825,0.19759440716631393
51,0.036591505792521795,0.19128906344201121,0.38257812688402243,5.227690396963794,0.19128906344201121
52,0.03429345704895213,0.18518492662458286,0.3703698532491657,5.400007539637691,0.18518492662458286
53,0.03213973218365538,0.1792755760934974,0.3585511521869948,5.578004666282434,0.1792755760934974
54,0.030121267254059364,0.1735547961136752,0.3471095922273504,5.761869002715537,0.1735547961136752
55,0.02822956755849604,0.1680165692974834,0.3360331385949668,5.951793946163965,0.1680165692974834
56,0.02645667188628309,0.16265507027536244,0.3253101405507249,6.147979268688505,0.16265507027536244
57,0.024795119013000324,0.1574646595684261,0.3149293191368522,6.350631327313486,0.1574646595684261
58,0.02323791629995618,0.15243987765659017,0.30487975531318035,6.559963281082893,0.15243987765659017
59,0.02177851026569549,0.1475754392359904,0.2951508784719808,6.776195315271148,0.1475754392359904
60,0.02041075900569873,0.14286622765964926,0.28573245531929853,6.999554872984423,0.14286622765964926
61,0.019128906344201127,0.13830728955554414,0.2766145791110883,7.230276894396087,0.13830728955554414
62,0.017927557609349734,0.1338938296164156,0.2677876592328312,7.468604063867916,0.1338938296164156
63,0.016801656929748335,0.12962120555583617,0.25924241111167234,7.714787065217009,0.12962120555583617
64,0.01574646595684261,0.12548492322523297,0.25096984645046594,7.96908484539692,0.12548492322523297
65,0.014757543923599039,0.12148063188672933,0.24296126377345867,8.23176488687034,0.12148063188672933
66,0.013830728955554414,0.11760411963683251,0.23520823927366502,8.503103488959832,0.11760411963683251
67,0.012962120555583614,0.1138513089761537,0.2277026179523074,8.783386058472558,0.1138513089761537
68,0.01214806318867293,0.11021825252050102,0.22043650504100204,9.07290740990469,0.11021825252050102
