case,h,time_ratio,radial_ratio,axial_ratio,speed_ratio,volume_ratio,energy_ratio,slenderness_ratio
h_zero_limit,0,3.981071705534969e-06,0.001995262314968879,0.001995262314968879,501.1872336272725,7.943282347242805e-09,0.001995262314968879,1.0
h_zero_limit,0,3.548133892335753e-06,0.0018836490894898002,0.0018836490894898002,530.8844442309885,6.683439175686141e-09,0.0018836490894898002,1.0
h_zero_limit,0,3.162277660168379e-06,0.0017782794100389228,0.0017782794100389228,562.341325190349,5.62341325190349e-09,0.0017782794100389228,1.0
h_zero_limit,0,2.818382931264449e-06,0.001678804018122559,0.001678804018122559,595.6621435290109,4.731512589614793e-09,0.001678804018122559,1.0
h_zero_limit,0,2.511886431509577e-06,0.0015848931924611126,0.0015848931924611126,630.9573444801936,3.981071705534966e-09,0.0015848931924611126,1.0
h_zero_limit,0,2.2387211385683376e-06,0.0014962356560944327,0.0014962356560944327,668.3439175686149,3.349654391578272e-09,0.0014962356560944327,1.0
h_zero_limit,0,1.9952623149688787e-06,0.001412537544622754,0.001412537544622754,707.945784384138,2.818382931264452e-09,0.001412537544622754,1.0
h_zero_limit,0,1.778279410038923e-06,0.001333521432163324,0.001333521432163324,749.8942093324558,2.3713737056616553e-09,0.001333521432163324,1.0
h_zero_limit,0,1.584893192461111e-06,0.0012589254117941662,0.0012589254117941662,794.3282347242822,1.995262314968875e-09,0.0012589254117941662,1.0
h_zero_limit,0,1.4125375446227527e-06,0.0011885022274370177,0.0011885022274370177,841.3951416451956,1.6788040181225574e-09,0.0011885022274370177,1.0
h_zero_limit,0,1.2589254117941661e-06,0.001122018454301963,0.001122018454301963,891.2509381337459,1.4125375446227524e-09,0.001122018454301963,1.0
h_zero_limit,0,1.122018454301963e-06,0.0010592537251772887,0.0010592537251772887,944.0608762859235,1.1885022274370179e-09,0.0010592537251772887,1.0
h_zero_limit,0,1e-06,0.001,0.001,1000.0,9.999999999999999e-10,0.001,1.0
h_zero_limit,0,8.912509381337441e-07,0.0009440608762859227,0.0009440608762859227,1059.2537251772897,8.413951416451931e-10,0.0009440608762859227,1.0
h_zero_limit,0,7.943282347242805e-07,0.000891250938133745,0.000891250938133745,1122.018454301964,7.079457843841366e-10,0.000891250938133745,1.0
h_zero_limit,0,7.079457843841374e-07,0.0008413951416451948,0.0008413951416451948,1188.502227437019,5.956621435290098e-10,0.0008413951416451948,1.0
h_zero_limit,0,6.30957344480193e-07,0.0007943282347242813,0.0007943282347242813,1258.9254117941675,5.011872336272719e-10,0.0007943282347242813,1.0
h_zero_limit,0,5.62341325190349e-07,0.0007498942093324557,0.0007498942093324557,1333.521432163324,4.216965034285822e-10,0.0007498942093324557,1.0
h_zero_limit,0,5.011872336272714e-07,0.0007079457843841374,0.0007079457843841374,1412.5375446227556,3.5481338923357456e-10,0.0007079457843841374,1.0
h_zero_limit,0,4.466835921509626e-07,0.0006683439175686143,0.0006683439175686143,1496.2356560944343,2.9853826189179545e-10,0.0006683439175686143,1.0
h_zero_limit,0,3.981071705534969e-07,0.000630957344480193,0.000630957344480193,1584.893192461114,2.511886431509577e-10,0.000630957344480193,1.0
h_zero_limit,0,3.548133892335753e-07,0.0005956621435290103,0.0005956621435290103,1678.8040181225606,2.1134890398366454e-10,0.0005956621435290103,1.0
h_zero_limit,0,3.162277660168379e-07,0.0005623413251903491,0.0005623413251903491,1778.2794100389228,1.7782794100389226e-10,0.0005623413251903491,1.0
h_zero_limit,0,2.818382931264449e-07,0.000530884444230988,0.000530884444230988,1883.649089489802,1.4962356560944298e-10,0.000530884444230988,1.0
h_zero_limit,0,2.511886431509577e-07,0.000501187233627272,0.000501187233627272,1995.262314968881,1.2589254117941649e-10,0.000501187233627272,1.0
h_zero_limit,0,2.2387211385683377e-07,0.0004731512589614803,0.0004731512589614803,2113.489039836648,1.0592537251772876e-10,0.0004731512589614803,1.0
h_zero_limit,0,1.9952623149688787e-07,0.000446683592150963,0.000446683592150963,2238.72113856834,8.912509381337449e-11,0.000446683592150963,1.0
h_zero_limit,0,1.7782794100389227e-07,0.00042169650342858224,0.00042169650342858224,2371.3737056616555,7.498942093324558e-11,0.00042169650342858224,1.0
h_zero_limit,0,1.584893192461111e-07,0.0003981071705534969,0.0003981071705534969,2511.886431509582,6.309573444801917e-11,0.0003981071705534969,1.0
h_zero_limit,0,1.4125375446227526e-07,0.00037583740428844394,0.00037583740428844394,2660.7250597988113,5.3088444423098736e-11,0.00037583740428844394,1.0
h_zero_limit,0,1.2589254117941662e-07,0.0003548133892335753,0.0003548133892335753,2818.382931264455,4.4668359215096255e-11,0.0003548133892335753,1.0
h_zero_limit,0,1.122018454301963e-07,0.0003349654391578276,0.0003349654391578276,2985.3826189179604,3.75837404288444e-11,0.0003349654391578276,1.0
h_zero_limit,0,1e-07,0.00031622776601683794,0.00031622776601683794,3162.2776601683795,3.1622776601683794e-11,0.00031622776601683794,1.0
h_zero_limit,0,8.91250938133744e-08,0.00029853826189179573,0.00029853826189179573,3349.6543915782795,2.660725059798803e-11,0.00029853826189179573,1.0
h_zero_limit,0,7.943282347242805e-08,0.0002818382931264452,0.0002818382931264452,3548.133892335757,2.2387211385683354e-11,0.0002818382931264452,1.0
h_zero_limit,0,7.079457843841373e-08,0.00026607250597988083,0.00026607250597988083,3758.3740428844435,1.8836490894897982e-11,0.00026607250597988083,1.0
h_zero_limit,0,6.30957344480193e-08,0.00025118864315095795,0.00025118864315095795,3981.0717055349733,1.5848931924611124e-11,0.00025118864315095795,1.0
h_zero_limit,0,5.6234132519034905e-08,0.0002371373705661655,0.0002371373705661655,4216.965034285822,1.333521432163324e-11,0.0002371373705661655,1.0
h_zero_limit,0,5.0118723362727144e-08,0.00022387211385683378,0.00022387211385683378,4466.835921509635,1.1220184543019606e-11,0.00022387211385683378,1.0
h_zero_limit,0,4.466835921509626e-08,0.00021134890398366455,0.00021134890398366455,4731.512589614807,9.440608762859217e-12,0.00021134890398366455,1.0
