speed_ratio,radius_ratio,h
5169.720321851941,0.00019343406175631784,0
5449.9144477246045,0.0001834891188828681,0
5745.294839639876,0.00017405547111359068,0
6056.684579365084,0.0001651068314514785,0
6384.951358948564,0.00015661826438168413,0
6731.009898556207,0.00014856611638834434,0
7095.82449535253,0.00014092795004371362,0
7480.411710528779,0.0001336824814859438,0
7885.84320196551,0.0001268095211112941,0
8313.24871042289,0.00012028991731550525,0
8763.819207579787,0.00011410550312757528,0
9238.810214693733,0.00010823904558722992,0
9739.545301129157,0.00010267419772502777,0
10267.419772502775,9.739545301129156e-05,0
10823.904558722988,9.23881021469373e-05,0
11410.55031275752,8.76381920757979e-05,0
12028.991731550514,8.313248710422904e-05,0
12680.95211112939,7.885843201965522e-05,0
13368.248148594357,7.480411710528788e-05,0
14092.795004371337,7.095824495352537e-05,0
14856.611638834429,6.731009898556213e-05,0
15661.826438168404,6.384951358948567e-05,0
16510.683145147836,6.056684579365085e-05,0
17405.54711135905,5.745294839639886e-05,0
18348.91188828678,5.4499144477246127e-05,0
19343.40617563175,5.1697203218519517e-05,0
20391.801146220718,4.903931697006243e-05,0
21497.018167919792,4.6518079493104276e-05,0
22662.136944068832,4.412646532266768e-05,0
23890.404095119506,4.1857810191008286e-05,0
25185.24220539055,3.970579245753549e-05,0
26550.25936014887,3.766441549346859e-05,0
27989.259199591703,3.5727990972143624e-05,0
29506.251517745477,3.3891123018408006e-05,0
31105.463435815323,3.2148693172935776e-05,0
32791.3511811199,3.0495846129566137e-05,0
34568.61250443379,2.8927976205922023e-05,0
36442.19977033848,2.7440714509609104e-05,0
38417.33375705847,2.6029916764233254e-05,0
40499.518204235894,2.469165176131426e-05,0
42694.55514918123,2.3422190405915898e-05,0
45008.561094334844,2.22179953254686e-05,0
47447.98405099019,2.107571101282922e-05,0
50019.62150677127,1.999215447611151e-05,0
52730.63936693094,1.896430636923269e-05,0
55588.591922250496,1.7989302578461777e-05,0
58601.442899180576,1.7064426241524902e-05,0
61777.58765088165,1.618710017702882e-05,0
65125.87655099753,1.5354879703107545e-05,0
68655.63965535063,1.4565445825280647e-05,0
72376.71270027853,1.3816598774541366e-05,0
76299.46451005658,1.310625187766811e-05,0
80434.82588977795,1.2432425742679267e-05,0
84794.32008420127,1.1793242743228483e-05,0
89390.09488744017,1.1186921786571517e-05,0
94234.95649296856,1.061177335052535e-05,0
99342.40517826544,1.0066194775590003e-05,0
104726.67292353493,9.548665799114425e-06,0
110402.7630693264,9.057744319062554e-06,0
116386.49212356171,8.59206237557491e-06,0
122694.533834465,8.150322339128516e-06,0
129344.46565220518,7.731293294673336e-06,0
136354.81770871702,7.333807611669523e-06,0
143745.1244521838,6.95675769046794e-06,0
151535.979080062,6.5990928759675206e-06,0
159749.0909223264,6.2598165299496e-06,0
168407.34593483325,5.937983253930972e-06,0
177534.87047137172,5.632696254797191e-06,0
187157.09851209904,5.343104845875526e-06,0
197300.84253569742,5.068402076484141e-06,0
207994.36823273648,4.807822483352266e-06,0
219267.4732684322,4.560639957645601e-06,0
231151.57031427513,4.326165721653519e-06,0
243679.7745798976,4.1037464094999005e-06,0
256886.99608908786,3.8927622465296055e-06,0
270810.0369570802,3.6926253222973642e-06,0
285487.6939401855,3.502777952346758e-06,0
300960.86654351815,3.322691124214328e-06,0
317272.6709880631,3.1518630233286743e-06,0
334468.56035465427,2.9898176346968116e-06,0
352596.45123964647,2.83610341648146e-06,0
371706.8572752099,2.6902920417731345e-06,0
391853.02988630213,2.551977205050969e-06,0
413091.1066765401,2.4207734900064645e-06,0
435480.2678564507,2.2963152955753095e-06,0
459082.90114999097,2.1782558171847088e-06,0
483964.7756388465,2.0662660803773856e-06,0
510195.2250289417,1.96003402411944e-06,0
537847.3408498182,1.8592636312377478e-06,0
566998.1761252482,1.7636741035637872e-06,0
597728.9600826082,1.6729990794854535e-06,0
630125.3244993052,1.5869858917265325e-06,0
664277.5423169724,1.505394863285671e-06,0
700280.7791883369,1.4279986395729064e-06,0
738235.3586576979,1.3545815548827914e-06,0
778247.0417139456,1.2849390314387624e-06,0
820427.3214950975,1.2188770093341835e-06,0
864893.7339655532,1.15621140578159e-06,0
911770.1854317721,1.096767602163309e-06,0
961187.2978090021,1.0403799574541512e-06,0
1013282.7726011508,9.86891346660268e-07,0
1068201.7746080323,9.361527229880713e-07,0
1126097.336429199,8.880227025231687e-07,0
1187130.7848915092,8.423671702620278e-07,0
1251472.1905886857,7.990589063985563e-07,0
1319300.8417854921,7.579772318242729e-07,0
1390805.744007113,7.190076718541981e-07,0
1466186.1467057923,6.820416372414831e-07,0
1545652.0984723407,6.46976121591889e-07,0
1629425.032339594,6.137134143349689e-07,0
1717738.3828087873,5.821608284521389e-07,0
1810838.2363181948,5.522304422029466e-07,0
1908984.0169665767,5.23838854129866e-07,0
2012449.2094022122,4.969069506589162e-07,0
2121522.1208918574,4.713596856485353e-07,0
2236506.684693146,4.471258712724133e-07,0
2357723.3069690424,4.2413797965357736e-07,0
2485509.7596042855,4.0233195469697505e-07,0
2620222.1214116653,3.8164703359623667e-07,0
2762235.7703508297,3.620255775172265e-07,0
2911946.4295244357,3.434129109865921e-07,0
3069771.2698663455,3.257571695377612e-07,0
3236150.072594513,3.090091551898491e-07,0
