factor,radius_vary_r0_m,radius_vary_u0_introductory_ceiling_m,air_kn_crossing_speed_m_s
0.8401749869294337,2.802522093232358e-10,3.7672849919730894e-10,124.84026551700356
0.8733261623828433,2.913102511681075e-10,3.9129622181984563e-10,129.76614597070474
0.9077853991937553,3.0280461531615826e-10,4.064272640289271e-10,134.88638918183585
0.9436043101478888,3.1475251793955697e-10,4.221434088420363e-10,140.20866421216775
0.9808365445406668,3.2717185451698945e-10,4.3846728160463833e-10,145.7409427252105
1.01953786853273,3.400812266373726e-10,4.554223825621823e-10,151.49151092611146
1.0597662486760708,3.5349996986117334e-10,4.730331206916221e-10,157.46898197267032
1.1015819387358996,3.674481826810665e-10,4.91324848841181e-10,163.6823088760623
1.1450475699382818,3.8194675662530566e-10,5.103239002289279e-10,170.14079791059163
1.190228244778715,3.9701740754889663e-10,5.300576263527179e-10,176.85412255255798
1.23719163453216,4.1268270815944274e-10,5.50554436366081e-10,183.83233796911736
1.2860080806105665,4.2896612182637576e-10,5.718438379767298e-10,191.08589607883596
1.3367506999197079,4.458920377242138e-10,5.939564799265727e-10,198.6256612064945
1.3894954943731375,4.6348580736248454e-10,6.169241961143967e-10,206.46292635559243
1.4443214647272804,4.817737825570249e-10,6.407800514247204e-10,214.60943012292432
1.5013107289081735,5.00783354899533e-10,6.655583893288076e-10,223.07737428056072
1.560548645007074,5.205429967844868e-10,6.912948813263679e-10,231.8794420515711
1.622123939129172,5.410823040548845e-10,7.180265782991195e-10,241.02881710686063
1.6861288382868795,5.624320403306741e-10,7.457919638501416e-10,250.5392033115719
1.7526592085367585,5.846241830862731e-10,7.746310097058034e-10,260.42484525063287
1.8218146985669748,6.07691971546187e-10,8.045852332600453e-10,270.7005495641864
1.8936988889503603,6.316699564704727e-10,8.356977573438221e-10,281.3817071248679
1.9684194472866112,6.565940519046049e-10,8.680133723057914e-10,292.4843160901354
2.046088289466012,6.82501588971265e-10,9.015786004935888e-10,304.02500586419194
2.1268217472962094,7.094313717846128e-10,9.364417632285286e-10,316.0210620053804
2.2107407427431247,7.37423735570801e-10,9.726530503701692e-10,328.49045211636314
2.2979709690469625,7.665206070817707e-10,1.010264592570847e-09,341.4518527558636
2.388643078984598,7.967655673928254e-10,1.0493305363242398e-09,354.9246774122732
2.4828928805603274,8.28203917178039e-10,1.0899071219159846e-09,368.92910558102926
2.580861540418074,8.608827445612637e-10,1.1320527643885593e-09,383.4861129893127
2.682695795279726,8.948509956443687e-10,1.1758281376370058e-09,398.6175030133322
2.78854817172629,9.30159547818341e-10,1.221296261756542e-09,414.34593933525844
2.8985772146510667,9.668612859670628e-10,1.2685225937678427e-09,430.69497988871717
