h,speed_m_s,radius_m,r0_m,u0_m_s
0.0,312761.6057841775,3.1973233974570877e-09,0.001,1.0
0.0,324986.7061334212,3.0770489411633237e-09,0.001,1.0
0.0,337689.6563075312,2.9612988770059007e-09,0.001,1.0
0.0,350889.13430902833,2.8499030098757606e-09,0.001,1.0
0.0,364604.54821871064,2.742697546932803e-09,0.001,1.0
0.0,378856.064732666,2.6395248567701684e-09,0.001,1.0
0.0,393664.6388147168,2.5402332376382504e-09,0.001,1.0
0.0,409052.0445079195,2.4446766943873302e-09,0.001,1.0
0.0,425040.9069504003,2.3527147238011486e-09,0.001,1.0
0.0,441654.73564262013,2.264212108005525e-09,0.001,1.0
0.0,458917.95901497843,2.179038715648437e-09,0.001,1.0
0.0,476855.960346572,2.0970693105591345e-09,0.001,1.0
0.0,495495.1150879457,2.0181833676049664e-09,0.001,1.0
0.0,514862.829642685,1.9422648954751692e-09,0.001,1.0
0.0,534987.5816649033,1.869202266131037e-09,0.001,1.0
0.0,555898.9619318452,1.7988880506717017e-09,0.001,1.0
0.0,577627.7178532059,1.7312188613741927e-09,0.001,1.0
0.0,600205.7986811082,1.6660951996755092e-09,0.001,1.0
0.0,623666.4024872475,1.6034213098731869e-09,0.001,1.0
0.0,648044.0249762406,1.543105038329244e-09,0.001,1.0
0.0,673374.5102069924,1.4850576979704869e-09,0.001,1.0
0.0,699695.1032966168,1.4291939378859372e-09,0.001,1.0
0.0,727044.5051844502,1.3754316178296425e-09,0.001,1.0
0.0,755462.929536637,1.3236916874443451e-09,0.001,1.0
0.0,784992.1618749937,1.273898070028431e-09,0.001,1.0
0.0,815675.6210170782,1.2259775506752114e-09,0.001,1.0
0.0,847558.4229177883,1.1798596686201518e-09,0.001,1.0
0.0,880687.4470063993,1.135476613637634e-09,0.001,1.0
0.0,915111.4051165305,1.0927631263350499e-09,0.001,1.0
0.0,950880.913110446,1.0516564021974938e-09,0.001,1.0
0.0,988048.5653029489,1.0120959992420883e-09,0.001,1.0
0.0,1026669.0117943574,9.740237491460393e-10,0.001,1.0
0.0,1066799.0388262086,9.373836717178646e-10,0.001,1.0
0.0,1108497.6522779076,9.021218925859238e-10,0.001,1.0
0.0,1151826.1644270266,8.681865639833313e-10,0.001,1.0
0.0,1196848.28410089,8.355277885126691e-10,0.001,1.0
0.0,1243630.2103519314,8.040975457785098e-10,0.001,1.0
0.0,1292240.7297946364,7.738496217797758e-10,0.001,1.0
0.0,1342751.3177471124,7.447395409581981e-10,0.001,1.0
0.0,1395236.2433260665,7.167245008029088e-10,0.001,1.0
0.0,1449772.678649695,6.897633089150162e-10,0.001,1.0
0.0,1506440.8123090216,6.638163224396679e-10,0.001,1.0
0.0,1565323.9672746034,6.388453897764735e-10,0.001,1.0
0.0,1626508.7234118779,6.14813794482658e-10,0.001,1.0
0.0,1690085.0447853894,5.916862012863867e-10,0.001,1.0
0.0,1756146.411938984,5.694286041309549e-10,0.001,1.0
