h,speed_m_s,radius_m,r0_m,u0_m_s
0.0,3.826711021962137,0.00026132101281252547,0.001,1.0
0.0,3.9762879693427076,0.0002514908396248029,0.001,1.0
0.0,4.131711520519406,0.00024203045034332116,0.001,1.0
0.0,4.293210205199169,0.00023292593472105762,0.001,1.0
0.0,4.461021485766557,0.0002241639057759807,0.001,1.0
0.0,4.635392106440695,0.00021573148010726846,0.001,1.0
0.0,4.816578456079889,0.00020761625895197787,0.001,1.0
0.0,5.004846945167431,0.00019980630995430893,0.001,1.0
0.0,5.20047439753285,0.00019229014962065936,0.001,1.0
0.0,5.403748457384625,0.00018505672643467065,0.001,1.0
0.0,5.61496801225282,0.00017809540460744013,0.001,1.0
0.0,5.83444363246354,0.00017139594843900468,0.001,1.0
0.0,6.062498027791366,0.0001649485072681023,0.001,1.0
0.0,6.299466521961276,0.00015874360098808176,0.001,1.0
0.0,6.545697545697666,0.00015277210610766407,0.001,1.0
0.0,6.801553149045507,0.0001470252423360589,0.001,1.0
0.0,7.067409533716877,0.0001414945596727125,0.001,1.0
0.0,7.343657606245667,0.00013617192598270315,0.001,1.0
0.0,7.630703552763759,0.00013104951503951567,0.001,1.0
0.0,7.928969436243836,0.0001261197950176141,0.001,1.0
0.0,8.238893817086966,0.00012137551741789179,0.001,1.0
0.0,8.560932397967486,0.00011680970640971506,0.001,1.0
0.0,8.895558693883299,0.00011241564857389034,0.001,1.0
0.0,9.243264728396852,0.00010818688303147187,0.001,1.0
0.0,9.604561757090488,0.0001041171919438967,0.001,1.0
0.0,9.979981019299931,0.00010020059137047811,0.001,1.0
0.0,10.370074519231242,9.643132246981502e-05,0.001,1.0
0.0,10.775415837609737,9.280384303217995e-05,0.001,1.0
0.0,11.196600975054345,8.931281933043489e-05,0.001,1.0
0.0,11.634249228417417,8.595311827749353e-05,0.001,1.0
0.0,12.089004101378572,8.271979987879767e-05,0.001,1.0
0.0,12.561534250631452,7.960810996871115e-05,0.001,1.0
0.0,13.052534469054667,7.661347322014966e-05,0.001,1.0
0.0,13.562726707312525,7.373148641716984e-05,0.001,1.0
0.0,14.092861135387675,7.095791198062434e-05,0.001,1.0
0.0,14.643717245606503,6.82886717373641e-05,0.001,1.0
0.0,15.216104998779183,6.57198409238259e-05,0.001,1.0
0.0,15.810866015139553,6.324764241518832e-05,0.001,1.0
0.0,16.428874811835982,6.086844117161098e-05,0.001,1.0
0.0,17.07104008879279,5.8578738893390816e-05,0.001,1.0
0.0,17.738306064832887,5.63751688771766e-05,0.001,1.0
0.0,18.43165386602629,5.4254491065678395e-05,0.001,1.0
0.0,19.15210296830574,5.221358728359339e-05,0.001,1.0
0.0,19.900712696470862,5.024945665274275e-05,0.001,1.0
0.0,20.67858378178464,4.8359211179678585e-05,0.001,1.0
0.0,21.4868599804527,4.6540071509272765e-05,0.001,1.0
0.0,22.326729755365026,4.478936283804412e-05,0.001,1.0
0.0,23.19942802357293,4.310451098121473e-05,0.001,1.0
0.0,24.106237972070694,4.148303858771297e-05,0.001,1.0
0.0,25.048492944551764,3.992256149755739e-05,0.001,1.0
0.0,26.027578401913726,3.8420785236265904e-05,0.001,1.0
0.0,27.044933959394662,3.6975501641135556e-05,0.001,1.0
0.0,28.102055503336377,3.558458561443224e-05,0.001,1.0
0.0,29.200497390686714,3.424599199871653e-05,0.001,1.0
0.0,30.34187473447519,3.295775256971103e-05,0.001,1.0
0.0,31.527865778622388,3.1717973142287816e-05,0.001,1.0
0.0,32.76021436557492,3.05248307853205e-05,0.001,1.0
0.0,34.04073250039434,2.9376571141305953e-05,0.001,1.0
0.0,35.3713030150701,2.8271505846814452e-05,0.001,1.0
0.0,36.7538823369742,2.7208010049975196e-05,0.001,1.0
0.0,38.19050336552797,2.6184520021347335e-05,0.001,1.0
0.0,39.68327846131089,2.5199530854663315e-05,0.001,1.0
0.0,41.234402552006536,2.4251594254063908e-05,0.001,1.0
0.0,42.846156359752456,2.3339316404571364e-05,0.001,1.0
0.0,44.520909754639405,2.2461355922669413e-05,0.001,1.0
0.0,46.26112523929085,2.1616421883976837e-05,0.001,1.0
0.0,48.069361569646276,2.08032719251145e-05,0.001,1.0
0.0,49.94827751727222,2.0020710416974794e-05,0.001,1.0
0.0,51.90063577873309,1.9267586706707787e-05,0.001,1.0
0.0,53.92930703776984,1.854279342583879e-05,0.001,1.0
0.0,56.03727418625941,1.784526486203007e-05,0.001,1.0
0.0,58.22763671016145,1.7173975392092243e-05,0.001,1.0
0.0,60.503615246901084,1.6527937973941454e-05,0.001,1.0
0.0,62.8685563208889,1.5906202695285005e-05,0.001,1.0
0.0,65.32593726414088,1.5307855376901364e-05,0.001,1.0
0.0,67.87937132923385,1.473201622846095e-05,0.001,1.0
0.0,70.53261300211382,1.4177838554911195e-05,0.001,1.0
0.0,73.28956352256932,1.3644507511523829e-05,0.001,1.0
0.0,76.15427662048687,1.3131238905773836e-05,0.001,1.0
0.0,79.13096447632275,1.2637278044288415e-05,0.001,1.0
0.0,82.22400391455547,1.2161898623170524e-05,0.001,1.0
0.0,85.43794283922533,1.1704401660065378e-05,0.001,1.0
0.0,88.77750692102383,1.1264114466399657e-05,0.001,1.0
0.0,92.24760654576514,1.0840389658282226e-05,0.001,1.0
0.0,95.85334403445708,1.0432604204612028e-05,0.001,1.0
0.0,99.6000211455869,1.0040158510993535e-05,0.001,1.0
0.0,103.49314687065367,9.662475538112736e-06,0.001,1.0
0.0,107.53844553440906,9.298999953277453e-06,0.001,1.0
0.0,111.74186521171748,8.949197313874241e-06,0.001,1.0
0.0,116.10958647341073,8.612553281541496e-06,0.001,1.0
0.0,120.6480314739972,8.288572865903128e-06,0.001,1.0
0.0,125.3638733945879,7.976779696750905e-06,0.001,1.0
0.0,130.26404625492373,7.676715323605278e-06,0.001,1.0
0.0,135.35575510893128,7.387938541624793e-06,0.001,1.0
0.0,140.64648663879865,7.1100247428728944e-06,0.001,1.0
0.0,146.14402016314793,6.842565291988342e-06,0.001,1.0
0.0,151.856439075491,6.585166925341107e-06,0.001,1.0
0.0,157.79214272978703,6.337451172790408e-06,0.001,1.0
0.0,163.95985879057778,6.0990538011945815e-06,0.001,1.0
0.0,170.3686560658602,5.86962427885459e-06,0.001,1.0
0.0,177.02795784156504,5.648825260103671e-06,0.001,1.0
0.0,183.94755573724842,5.436332089285302e-06,0.001,1.0
0.0,191.13762410336923,5.231832323390134e-06,0.001,1.0
0.0,198.6087349813204,5.0350252726500294e-06,0.001,1.0
0.0,206.37187364821412,4.84562155841363e-06,0.001,1.0
0.0,214.43845476927328,4.663342687653472e-06,0.001,1.0
0.0,222.82033918158203,4.487920643478936e-06,0.001,1.0
0.0,231.52985133387284,4.319097491052982e-06,0.001,1.0
0.0,240.57979740799286,4.156624998333201e-06,0.001,1.0
0.0,249.9834841486949,4.00026427107953e-06,0.001,1.0
0.0,259.7547384294398,3.8497854015919785e-06,0.001,1.0
0.0,269.9079275829788,3.7049671306618674e-06,0.001,1.0
0.0,280.45798052661013,3.5655965222395194e-06,0.001,1.0
0.0,291.4204097131705,3.4314686503400584e-06,0.001,1.0
0.0,302.8113339400385,3.3023862977269403e-06,0.001,1.0
0.0,314.6475020496872,3.178159665930181e-06,0.001,1.0
0.0,326.94631755663454,3.05860609617289e-06,0.001,1.0
0.0,339.7258642370019,2.9435498007957765e-06,0.001,1.0
0.0,353.0049327183061,2.8328216047847365e-06,0.001,1.0
0.0,366.80304810858564,2.7262586970214253e-06,0.001,1.0
0.0,381.1404987054794,2.623704390891126e-06,0.001,1.0
0.0,396.0383658274765,2.525007893895873e-06,0.001,1.0
0.0,411.518554811198,2.430024085934092e-06,0.001,1.0
0.0,427.6038272202867,2.33861330592075e-06,0.001,1.0
0.0,444.3178343132666,2.2506411464342645e-06,0.001,1.0
0.0,461.68515181957974,2.1659782560882227e-06,0.001,1.0
0.0,479.73131607493525,2.084500149337337e-06,0.001,1.0
0.0,498.48286156910206,2.006087023437966e-06,0.001,1.0
0.0,517.967359961355,1.930623582294084e-06,0.001,1.0
0.0,538.2134606209411,1.85799886692966e-06,0.001,1.0
0.0,559.2509327521748,1.788106092338228e-06,0.001,1.0
0.0,581.110709166103,1.7208424904696828e-06,0.001,1.0
0.0,603.8249317630986,1.656109159123517e-06,0.001,1.0
0.0,627.4269987932595,1.593810916526252e-06,0.001,1.0
0.0,651.9516139641041,1.53385616137927e-06,0.001,1.0
0.0,677.4348374677659,1.4761567381712679e-06,0.001,1.0
0.0,703.9141390027236,1.4206278075572668e-06,0.001,1.0
0.0,731.4284528680187,1.3671877216136185e-06,0.001,1.0
0.0,760.0182352109756,1.3157579037855683e-06,0.001,1.0
0.0,789.7255235125983,1.2662627333508583e-06,0.001,1.0
0.0,820.593998398107,1.21862943422949e-06,0.001,1.0
0.0,852.6690478635015,1.1727879679761567e-06,0.001,1.0
0.0,885.9978340125859,1.1286709307980032e-06,0.001,1.0
0.0,920.629362402584,1.0862134544462944e-06,0.001,1.0
0.0,956.6145541003077,1.0453531108362618e-06,0.001,1.0
0.0,994.0063205548288,1.006029820254891e-06,0.001,1.0
0.0,1032.859641396743,9.681857630216758e-07,0.001,1.0
0.0,1073.2316452784212,9.3176529447245e-07,0.001,1.0
0.0,1115.181693874111,8.96714863141294e-07,0.001,1.0
0.0,1158.7714691634035,8.629829320202098e-07,0.001,1.0
0.0,1204.065064126393,8.30519902780792e-07,0.001,1.0
0.0,1251.1290769839072,7.992780428464637e-07,0.001,1.0
0.0,1300.0327091213474,7.692114152080601e-07,0.001,1.0
0.0,1350.8478668401442,7.402758108795513e-07,0.001,1.0
0.0,1403.6492670864322,7.12428683894595e-07,0.001,1.0
0.0,1458.514547312403,6.856290887483395e-07,0.001,1.0
0.0,1515.524379631877,6.598376201924915e-07,0.001,1.0
0.0,1574.7625894379407,6.350163552951284e-07,0.001,1.0
0.0,1636.3162786570638,6.111287976800591e-07,0.001,1.0
0.0,1700.2759538209232,5.881398238637455e-07,0.001,1.0
0.0,1766.7356591442478,5.660156316108822e-07,0.001,1.0
0.0,1835.793114804356,5.447236902326936e-07,0.001,1.0
0.0,1907.5498606257086,5.242326927548739e-07,0.001,1.0
0.0,1982.1114053807464,5.045125098848358e-07,0.001,1.0
0.0,2059.587381926539,4.85534145710584e-07,0.001,1.0
0.0,2140.0917084053526,4.6726969506607305e-07,0.001,1.0
0.0,2223.742755746162,4.496923025003656e-07,0.001,1.0
0.0,2310.663521713386,4.327761227902571e-07,0.001,1.0
0.0,2400.981811758792,4.1649628293829933e-07,0.001,1.0
0.0,2494.830426942441,4.0082884560036336e-07,0.001,1.0
0.0,2592.347359199028,3.857507738889498e-07,0.001,1.0
0.0,2693.6759942367094,3.712398975005026e-07,0.001,1.0
0.0,2798.9653223667597,3.5727488011691997e-07,0.001,1.0
0.0,2908.3701575740515,3.4383518803333027e-07,0.001,1.0
0.0,3022.051365150478,3.3090105996600297e-07,0.001,1.0
