Lambda_over_P_squared,scaled_offset,eta_decimal,eta_offset_decimal,scaled_p1,Sq_margin,leading_relative_max
1e+16,20,-0.0044444346906930359020564584655943789978546259940582169080050543195368241739797219,3.92822621474855097929496926288475078078754124493e-17,547526495.9690787,-14665287.542024124,1.0177565812268422e-68
1e+16,25,-0.0044444346906930260814909215942169307604314687821812649391519419944727343857306755,4.9102827684356887241187115786059384759844265561625e-17,867731461.357461,-13748525.98010633,9.19569883898113e-69
1e+16,30,-0.0044444346906930162609253847228394825230083115703043129702988296694086445974816292,5.892339322122826468942453894327126171181311867395e-17,1261265763.9042706,-10998530.989227893,6.536093907345171e-69
1e+16,40,-0.0044444346906929966197943109800845860481619971465504090325926050192804650209835364,7.8564524294971019585899385257695015615750824898601e-17,2268322380.473172,1159.2794109065226,6.409754846938498e-70
1e+24,-40,-0.0044444346906930751843193915963471216577431138354186017335736611280421693321030904,-7.8564524294971019585899385257695015615750824898601e-25,30.247374257272575,1.6731689170459885,4.5081775202030286e-61
1e+24,-20,-0.0044444346906930751843189987737256468026451843384923132584955823739176763295394989,-3.92822621474855097929496926288475078078754124493e-25,12.25725126626841,0.9398813393592386,6.877069924704029e-62
1e+24,-10,-0.0044444346906930751843188023624149093750962195900291690209565429968554298282577031,-1.964113107374275489647484631442375390393770622465e-25,7.661950000271965,0.6832315562535002,2.2021668748448876e-62
1e+24,-2,-0.0044444346906930751843186452333663194330570477912586536309253114952056326272322665,-3.92822621474855097929496926288475078078754124493e-26,6.0975938976375135,0.530708852522975,9.239136367265395e-62
1e+24,-1,-0.0044444346906930751843186255922352456903021513164123392071714075574994079771040869,-1.964113107374275489647484631442375390393770622465e-26,6.034042191693376,0.5149433347287884,5.944363825759095e-62
1e+24,-0.5,-0.0044444346906930751843186157716697088189247030789891819952944555886462956520399971,-9.8205655368713774482374231572118769519688531123251e-27,6.013265739295071,0.5073355608460393,2.9646078204902254e-62
1e+24,0,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,-1.0180359315333929802231877283975225883292100441559e-99,5.999822220612609,0.4999111103061861,5.384356207157465e-82
1e+24,0.25,-0.0044444346906930751843186010408214035118585307228544461774790276353666271644438624,4.9102827684356887241187115786059384759844265561625e-27,5.995850311414819,0.4962676312898456,2.8253145283798375e-63
1e+24,0.5,-0.0044444346906930751843185961305386350761698066041428675715405516509400710019118175,9.8205655368713774482374231572118769519688531123251e-27,5.99371163564599,0.4926699831092291,1.85791381091714e-62
1e+24,0.6666666666666666,-0.0044444346906930751843185928570167894523786332670733980179079993177433284771507168,1.309408738249516862157449262676550950430204985485e-26,5.993304314816193,0.4902970125642203,3.4133826282671486e-63
1e+24,1,-0.0044444346906930751843185863099730982047923583667197103596635996820869586768477277,1.964113107374275489647484631442375390393770622465e-26,5.994933984395214,0.4856121792551681,4.756440638820774e-62
1e+24,2,-0.0044444346906930751843185666688420244620374618918733959359096957443807340267195482,3.92822621474855097929496926288475078078754124493e-26,6.019377483041189,0.4720465415757343,4.493751545442928e-62
1e+24,5,-0.0044444346906930751843185077454488032337727724673344526646479839312620600763350094,9.8205655368713774482374231572118769519688531123251e-26,6.268698388159341,0.43574938876693825,7.080405064273322e-62
1e+24,10,-0.0044444346906930751843184095397934345199982900931028805458784642427309368256941116,1.964113107374275489647484631442375390393770622465e-25,7.270867927290344,0.3899200015172965,5.2994793681166384e-61
1e+24,15,-0.0044444346906930751843183113341380658062238077188713084271089445541998135750532137,2.9461696610614132344712269471635630855906559336975e-25,9.00633083800562,0.3624229485572608,2.8332088755258993e-61
1e+24,20,-0.0044444346906930751843182131284826970924493253446397363083394248656686903244123158,3.92822621474855097929496926288475078078754124493e-25,11.47508712030517,0.3532582298868312,3.3284003946695844e-61
1e+24,25,-0.0044444346906930751843181149228273283786748429704081641895699051771375670737714179,4.9102827684356887241187115786059384759844265561625e-25,14.677136774188993,0.3624258455060077,3.921798814466646e-62
1e+24,30,-0.00444443469069307518431801671717195966490036059617659207080038548860644382313052,5.892339322122826468942453894327126171181311867395e-25,18.612479799657088,0.3899257954147903,2.25717904862167e-62
1e+24,40,-0.0044444346906930751843178203058612222373513958477134478332613461115441973218487243,7.8564524294971019585899385257695015615750824898601e-25,28.683045965346093,0.49992269810117373,3.0907355081222366e-61
