group,eta_decimal,Y,radial_degree,Phi,U,p1,Sq_margin,angular_relative,axial_relative,pressure_relative
global,-0.75,4,18,0.28297998858208184,-2.98,3.389130689043236,4.693547146080083e+38,5.947282008002616e-28,8.196116291806916e-82,3.6428492907799355e-18
global,-0.75,4.1,18,0.2711140571122487,-2.98,3.5521100606471556,4.693547146080083e+38,9.68170393914218e-28,1.2175808156060712e-82,6.186845818128561e-18
global,-0.625,0,18,1.0,-2.48,0.0,4.69354715023648e+38,8.429864042664168e-83,6.475333743403169e-82,0.0
global,-0.625,1,18,0.7699866223784435,-2.48,0.5476782860217713,4.69354715023648e+38,3.180615986875684e-39,6.117213991298485e-83,7.264588519091702e-30
global,-0.625,2,18,0.5767248088176888,-2.48,1.2235784642794285,4.69354715023648e+38,1.1131807962688705e-33,1.6366432151261147e-82,3.378081895937258e-24
global,-0.625,3,18,0.41573547978868103,-2.48,2.1104883513221213,4.69354715023648e+38,2.2822326418583365e-30,9.550099191391972e-82,9.561244428575648e-21
global,-0.625,4,18,0.28297998832227084,-2.48,3.3891306924858537,4.69354715023648e+38,5.947282071463836e-28,4.222763747128753e-82,3.642849332958032e-18
global,-0.625,4.1,18,0.271114056851362,-2.48,3.5521100643621177,4.69354715023648e+38,9.681704042879482e-28,1.141610341850877e-81,6.18684589030661e-18
global,-0.5,0,18,1.0,-1.98,0.0,4.693547150075941e+38,1.3533013564304898e-83,1.2924430015986858e-81,0.0
global,-0.5,1,18,0.7699866224449577,-1.98,0.547678285831774,4.693547150075941e+38,3.1806159685408364e-39,5.424198441550777e-82,7.264588476598168e-30
global,-0.5,2,18,0.5767248089289918,-1.98,1.223578463798363,4.693547150075941e+38,1.1131807897332008e-33,8.548856053266023e-82,3.378081875462369e-24
global,-0.5,3,18,0.41573547992707155,-1.98,2.1104883503389793,4.693547150075941e+38,2.282232628139708e-30,1.362852485257611e-81,9.561244367963408e-21
global,-0.5,4,18,0.28297998847354,-1.98,3.389130690481467,4.693547150075941e+38,5.947282034514962e-28,1.199332684092457e-81,3.64284930840078e-18
global,-0.5,4.1,18,0.2711140570032574,-1.98,3.5521100621991644,4.693547150075941e+38,9.681703982480763e-28,1.2544224114976085e-81,6.186845848282558e-18
global,-0.375,0,18,1.0,-1.48,0.0,4.693547144656912e+38,1.1136466768671314e-82,7.37748955468606e-83,1.1534489524240763e-81
global,-0.375,1,18,0.7699866227345257,-1.48,0.5476782850046269,4.693547144656912e+38,3.1806158887206446e-39,5.712189114459923e-82,7.264588291603882e-30
global,-0.375,2,18,0.5767248094135459,-1.48,1.2235784617040588,4.693547144656912e+38,1.1131807612803645e-33,6.709566842893761e-82,3.378081786325574e-24
global,-0.375,3,18,0.4157354805295504,-1.48,2.110488346058901,4.693547144656912e+38,2.2822325684160825e-30,4.214283469481145e-82,9.561244104089905e-21
global,-0.375,4,18,0.2829799891320855,-1.48,3.389130681755429,4.693547144656912e+38,5.947281873659182e-28,3.696327444326485e-82,3.642849201491545e-18
global,-0.375,4.1,18,0.2711140576645295,-1.48,3.5521100527828136,4.693547144656912e+38,9.681703719536803e-28,1.0468795600877348e-81,6.18684566533215e-18
global,-0.25,0,18,1.0,-0.98,0.0,4.6935471243448105e+38,1.4320920043259046e-81,4.535987247022528e-82,8.138232272983527e-82
global,-0.25,1,18,0.7699866236799704,-0.98,0.547678282303976,4.6935471243448105e+38,3.1806156281062373e-39,7.534380413467055e-82,7.264587687594111e-30
global,-0.25,2,18,0.5767248109956238,-0.98,1.2235784548661162,4.6935471243448105e+38,1.1131806683813268e-33,8.510991227023712e-82,3.378081495292287e-24
global,-0.25,3,18,0.41573548249665504,-0.98,2.110488332084365,4.6935471243448105e+38,2.282232373417338e-30,2.5032487540732553e-82,9.561243242538027e-21
global,-0.25,4,18,0.2829799912822489,-0.98,3.3891306532647527,4.6935471243448105e+38,5.947281348462083e-28,4.3988657954734216e-82,3.6428488524309154e-18
global,-0.25,4.1,18,0.27111405982359527,-0.98,3.5521100220382515,4.6935471243448105e+38,9.681702861019908e-28,8.167981122384299e-82,6.186845067995679e-18
global,-0.125,0,18,1.0,-0.48,0.0,4.693547003887026e+38,3.044198713973434e-82,3.62377503872333e-82,0.0
global,-0.125,1,18,0.7699866291111721,-0.48,0.5476782667898162,4.693547003887026e+38,3.180614130981042e-39,9.279432012260737e-82,7.264584217800353e-30
global,-0.125,2,18,0.5767248200840293,-0.48,1.2235784155848697,4.693547003887026e+38,1.1131801347136337e-33,1.0829384015577743e-81,3.378079823422855e-24
global,-0.125,3,18,0.4157354937968851,-0.48,2.110488251806245,4.693547003887026e+38,2.2822312532278113e-30,8.273631048674347e-82,9.561238293268336e-21
global,-0.125,4,18,0.2829800036340781,-0.48,3.3891304895972123,4.693547003887026e+38,5.947278331415549e-28,1.6121731115505523e-82,3.642846847217758e-18
global,-0.125,4.1,18,0.2711140722265651,-0.48,3.5521098454230398,4.693547003887026e+38,9.681697929184947e-28,2.3914080642568788e-82,6.186841636537525e-18
global,0.0,0,18,1.0,0.02,0.0,4.6934298322689225e+38,2.065933718374084e-82,1.8302426980708007e-82,1.0864602163279773e-81
global,0.0,1,18,0.769991892936129,0.02,0.5476632308115428,4.6934298322689225e+38,3.179163460233669e-39,4.18264221897183e-82,7.261222100580131e-30
global,0.0,2,18,0.5767336284273659,0.02,1.223540345230832,4.6934298322689225e+38,1.1126630285907395e-33,6.37951430226555e-82,3.376459850884953e-24
global,0.0,3,18,0.4157464458359299,0.02,2.110410448880202,4.6934298322689225e+38,2.2811458336569186e-30,5.147941663630685e-82,9.556442712404176e-21
global,0.0,4,18,0.2829919749057357,0.02,3.388971870249066,4.6934298322689225e+38,5.944354958304294e-28,6.764572671635139e-82,3.640903935975349e-18
global,0.0,4.1,18,0.27112609306711344,0.02,3.5519386780452673,4.6934298322689225e+38,9.676919223683655e-28,7.42178674716546e-82,6.183516801314414e-18
global,0.125,0,18,1.0,0.52,0.0,4.693547025599109e+38,5.026912968652521e-82,1.9240108326262618e-82,8.798608439748839e-82
global,0.125,1,18,0.7699866281357806,0.52,0.54767826957601,4.693547025599109e+38,3.180614399850273e-39,5.915804011784336e-82,7.264584840941812e-30
global,0.125,2,18,0.5767248184518391,0.52,1.2235784226394035,4.693547025599109e+38,1.113180230555199e-33,4.986008873667895e-82,3.3780801236744614e-24
global,0.125,3,18,0.4157354917674725,0.52,2.1104882662234226,4.693547025599109e+38,2.282231454403034e-30,3.856832059592768e-82,9.561239182109373e-21
global,0.125,4,18,0.28298000141580837,0.52,3.3891305189903274,4.693547025599109e+38,5.94727887324797e-28,2.5282735695589536e-82,3.64284720733467e-18
global,0.125,4.1,18,0.27111406999911103,0.52,3.5521098771414317,4.693547025599109e+38,9.681698814894877e-28,1.398875473122483e-82,6.1868422527942584e-18
global,0.25,0,18,1.0,1.02,0.0,4.69354712728142e+38,6.005229404437638e-82,7.42689488309638e-82,8.441514670305404e-82
global,0.25,1,18,0.7699866235480464,1.02,0.5476782826808151,4.69354712728142e+38,3.180615664471436e-39,1.2344532030547583e-81,7.264587771875467e-30
global,0.25,2,18,0.5767248107748664,1.02,1.223578455820258,4.69354712728142e+38,1.1131806813441251e-33,2.3199503509460656e-82,3.378081535902027e-24
global,0.25,3,18,0.4157354822221723,1.02,2.1104883340343217,4.69354712728142e+38,2.282232400626763e-30,7.2603551695891e-82,9.561243362755885e-21
global,0.25,4,18,0.28297999098222276,1.02,3.3891306572402398,4.69354712728142e+38,5.947281421746201e-28,7.227609602945171e-82,3.642848901137582e-18
global,0.25,4.1,18,0.2711140595223269,1.02,3.5521100263282377,4.69354712728142e+38,9.681702980814275e-28,2.863493713966036e-82,6.1868451513458656e-18
global,0.375,0,18,1.0,1.52,0.0,4.693547145659532e+38,6.983545921782336e-82,1.463218644521691e-82,0.0
global,0.375,1,18,0.7699866226894841,1.52,0.5476782851332875,4.693547145659532e+38,3.180615901136479e-39,1.6451811536317564e-82,7.264588320379289e-30
global,0.375,2,18,0.5767248093381747,1.52,1.2235784620298227,4.693547145659532e+38,1.1131807657061333e-33,6.387904617957314e-82,3.3780818001905836e-24
global,0.375,3,18,0.4157354804358363,1.52,2.1104883467246562,4.693547145659532e+38,2.2822325777059455e-30,7.244205697986235e-82,9.56124414513478e-21
global,0.375,4,18,0.2829799890296503,1.52,3.3891306831127426,4.693547145659532e+38,5.947281898679903e-28,4.214084393718518e-82,3.6428492181210136e-18
global,0.375,4.1,18,0.27111405756167023,1.52,3.5521100542475037,4.693547145659532e+38,9.68170376043709e-28,1.9656464475554445e-82,6.186845693789636e-18
global,0.5,0,18,1.0,2.02,0.0,4.6935471506014764e+38,1.8473840803282215e-82,1.0369723336944304e-81,8.977331532680361e-82
global,0.5,1,18,0.7699866224213486,2.02,0.5476782858992131,4.6935471506014764e+38,3.180615975048752e-39,6.45747172515335e-82,7.26458849168116e-30
global,0.5,2,18,0.5767248088894851,2.02,1.2235784639691163,4.6935471506014764e+38,1.1131807920530232e-33,9.523277334695709e-82,3.3780818827298884e-24
