peak_mach_exterior,radius_over_a,radius_m,temperature_ratio,density_ratio,pressure_ratio,density_deficit,pressure_deficit,incompressible_pressure_ratio,swirl_over_exterior_sound_speed,local_mach,mean_free_path_m,kn_temperature,kn_density,kn_pressure,shear_rate_s_inv,collision_shear_ratio,temperature_K,pressure_Pa
0.3,3.0037499999999997,0.00300375,0.9999940961010338,0.9999852403179396,0.999979336506113,1.4759682060485175e-05,2.0663493886999117e-05,0.9999793363536184,0.016319928223798776,0.016319976399615778,6.730088544227719e-08,2.3870198928503862e-09,5.967549732125967e-09,8.354569624976352e-09,16911.4439326408,2.446234286310994e-06,296.14825156032117,101297.90678806925
0.3,3.0075,0.0030074999999999998,0.9999942276990056,0.999985569309988,0.9999797970922919,1.443069001199347e-05,2.020290770807459e-05,0.9999797969465197,0.01615716361029749,0.016157210242505157,6.730086570558042e-08,2.3367258252999774e-09,5.841814563249945e-09,8.178540388549923e-09,16763.682263579136,2.4248597433214897e-06,296.1482905330605,101297.95344544917
0.3,3.01125,0.00301125,0.9999943565223822,0.9999858913656722,0.9999802479676763,1.4108634327793127e-05,1.9752032323755583e-05,0.9999802478283379,0.015995772496405557,0.015995817632488633,6.730084638501758e-08,2.2874235738454344e-09,5.718558934613587e-09,8.00598250845902e-09,16616.92629675263,2.4036307082400074e-06,296.1483286841035,101297.99911912561
0.3,3.0149999999999997,0.003015,0.9999944826259204,0.9999862066218788,0.9999806893239024,1.3793378121295325e-05,1.9310676097628095e-05,0.9999806891907216,0.015835746239499647,0.01583578992554834,6.730082747237594e-08,2.239095115330253e-09,5.5977377883256334e-09,7.836832903655886e-09,16471.172373388057,2.3825466508353673e-06,296.1483660296663,101298.0438285113
0.3,3.01875,0.0030187499999999997,0.999994606063381,0.9999865152130046,0.9999811213491216,1.348478699536991e-05,1.8878650878326067e-05,0.9999811212218334,0.01567707621766057,0.015677118498409363,6.73008089595921e-08,2.1917227208161085e-09,5.479306802040272e-09,7.671029522856381e-09,16326.416811550433,2.3616070375523053e-06,296.1484025856702,101298.08759266602
0.3,3.0225,0.0030225,0.9999947268875451,0.9999868172709984,0.9999815442280574,1.3182729001672874e-05,1.8455771942597428e-05,0.9999815441064077,0.015519753830043538,0.015519794748908975,6.730079083874966e-08,2.1452889514713833e-09,5.363222378678459e-09,7.508511330149843e-09,16182.655906663,2.3408113315860547e-06,296.14843836774645,101298.13043030222
0.3,3.02625,0.0030262500000000003,0.9999948451502304,0.9999871129253994,0.9999819581420608,1.2887074600542395e-05,1.8041857939165805e-05,0.9999819580258066,0.01536377049724238,0.01536381009635988,6.73007731020767e-08,2.0997766545032723e-09,5.249441636258182e-09,7.349218290761455e-09,16039.885932023784,2.3201589929564405e-06,296.1484733912407,101298.17235979075
0.3,3.03,0.0030299999999999997,0.9999949609023071,0.9999874023033786,0.9999823632691667,1.2597696621457591e-05,1.763673083337982e-05,0.9999823631580746,0.015209117661647878,0.015209155981907562,6.73007557419435e-08,2.0551689591333095e-09,5.137922397833275e-09,7.193091356966585e-09,15898.103139318855,2.299649478581518e-06,296.1485076712182,101298.21339916659
0.3,3.03375,0.00303375,0.9999950741937127,0.9999876855297759,0.9999827597841474,1.2314470224054133e-05,1.7240215852641677e-05,0.9999827596779945,0.015055786787800295,0.015055823868881895,6.73007387508601e-08,2.0114492726161415e-09,5.028623181540355e-09,7.040072454156497e-09,15757.303759132263,2.2792822423507336e-06,296.148541222468,101298.25356613414
0.3,3.0375,0.0030375000000000003,0.9999951850734685,0.9999879627271403,0.9999831478585673,1.203727285969044e-05,1.685214143260633e-05,0.9999831477571397,0.014903769362736003,0.014903805243142837,6.730072212147408e-08,1.9686012763013094e-09,4.9215031907532745e-09,6.890104467054584e-09,15617.484001452538,2.2590567351976144e-06,296.14857405950767,101298.29287807287
0.3,3.04125,0.0030412499999999997,0.9999952935896939,0.9999882340157664,0.9999835276608359,1.1765984233558844e-05,1.647233916414337e-05,0.9999835275639285,0.014753056896328392,0.01475309161342045,6.730070584656831e-08,1.9266089217378957e-09,4.81652230434474e-09,6.743131226082635e-09,15478.640056175873,2.2389724051719797e-06,296.1486061965878,101298.33135204267
0.3,3.045,0.003045,0.9999953997896216,0.9999884995137327,0.999983899356259,1.1500486267335273e-05,1.6100643741052575e-05,0.9999838992636757,0.014603640921622823,0.014603674511648979,6.730068991905859e-08,1.8854564268217192e-09,4.713641067054299e-09,6.5990974938760185e-09,15340.768093605726,2.2190286975116516e-06,296.14863764769643,101298.36900478904
0.3,3.04875,0.0030487500000000002,0.9999955037196127,0.9999887593369376,0.9999842631070914,1.1240663062362397e-05,1.573689290852612e-05,0.9999842630186443,0.014455512995166116,0.014455545493295491,6.730067433199153e-08,1.845128271985036e-09,4.612820679962591e-09,6.457948951947627e-09,15203.864264949238,2.1992250547137202e-06,296.1486684265633,101298.40585274836
