peak_mach_exterior,center_density_deficit,center_density_ratio,center_temperature_ratio,center_pressure_ratio,center_incompressible_pressure_ratio,center_pressure_difference_over_exterior,max_local_mach,max_thermodynamic_kn_proxy,max_collision_shear_ratio
0.025842597522359206,0.0009074413052618583,0.9990925586947381,0.9996369246160774,0.998729812780416,0.9987292361562711,5.766241448768028e-07,0.02584432368216752,7.341021941394028e-08,1.564538249563507e-06
0.026479445475400924,0.0009527042149483468,0.9990472957850517,0.999618809341206,0.9986664682882049,0.9986658326942207,6.355939842217495e-07,0.026481302436415208,7.707568280789069e-08,1.603104429540361e-06
0.02713198748996034,0.0010002241472205327,0.9989997758527794,0.9995997902232258,0.9985999663754879,0.99859926578129,7.00594197877713e-07,0.02713398516458224,8.092431073378142e-08,1.642621822441215e-06
0.02780061032015318,0.0010501135785110618,0.998949886421489,0.9995798221658095,0.9985301498217476,0.9985293775803336,7.722414140376443e-07,0.0278027593720754,8.496527066565329e-08,1.6831139310132875e-06
0.02848571025100888,0.0011024905833029145,0.9988975094166971,0.999558857822595,0.9984568535943886,0.9984560023790827,8.512153059081484e-07,0.02848802215217173,8.920819041614614e-08,1.7246048418706004e-06
0.029187693333344093,0.0011574791120225842,0.9988425208879774,0.9995368474849214,0.9983799044622607,0.9983789661972249,9.382650357769862e-07,0.02919018042521183,9.36631814057626e-08,1.7671192402379554e-06
0.029906975624424414,0.0012152092826537187,0.9987847907173463,0.999513738963965,0.9982991205902361,0.9982980863738777,1.0342163583310082e-06,0.029909651183909206,9.834086312404927e-08,1.8106824250853229e-06
0.030643983434556654,0.001275817686740955,0.998724182313259,0.9994894774669946,0.9982143111139307,0.9982131711344809,1.13997944972688e-06,0.030646861744942935,1.0325238884534442e-07,1.855320324664303e-06
0.031399153579758046,0.0013394477104856615,0.9986605522895143,0.9994640054674511,0.9981252756936149,0.9981240191360787,1.256557536133407e-06,0.03140225000700688,1.0840947266519912e-07,1.901059512458811e-06
0.03217293364065208,0.001406249871668592,0.9985937501283314,0.999437262568547,0.9980318040463192,0.9980304189899147,1.3850564044570746e-06,0.032176264715493924,1.1382441792723736e-07,1.947927223562586e-06
0.032965782227744315,0.0014763821731692984,0.9985236178268307,0.999409185360059,0.9979336754550917,0.9979321487602064,1.526694885289892e-06,0.032969365733999716,1.1951014711410145e-07,1.995951371496613e-06
0.0337781692532356,0.0015500104738885743,0.9984499895261114,0.9993797072679751,0.9978306582543179,0.9978289754379127,1.6828164052240524e-06,0.03378202432283668,1.2548023328024703e-07,2.0451605654800867e-06
0.034610576209533526,0.0016273088779181263,0.9983726911220818,0.9993487583966413,0.997722509289966,0.9977206543882446,1.8549017213320695e-06,0.034614723424755196,1.3174893310871646e-07,2.0955841281690736e-06
0.035463496454627506,0.0017084601428414298,0.9982915398571586,0.9993162653630316,0.9976089733535658,0.9976069287706107,2.0445829550519434e-06,0.035467957958075925,1.3833122167866027e-07,2.147252113877636e-06
0.03633743550449626,0.0017936561080910006,0.998206343891909,0.9992821511227489,0.9974897825886813,0.9974875289296211,2.253659060147406e-06,0.03634223511744378,1.4524282903529217e-07,2.2001953272967493e-06
0.03723291133272139,0.0018830981443306227,0.9981169018556694,0.9992463347873445,0.9973646558685773,0.9973621717557057,2.484112871514732e-06,0.03723807468242212,1.52500278659204e-07,2.2544453427270557e-06
0.03815045467748429,0.0019769976248759837,0.998023002375124,0.9992087314325235,0.9972332981437261,0.9972305600138325,2.738129893598007e-06,0.03815600933415258,1.6012092793751738e-07,2.3100345238421014e-06
0.039090609356128535,0.0020755764202141907,0.9979244235797858,0.9991692518967803,0.9970953997577403,0.9970923816387312,3.018119009157161e-06,0.0390965849803146,1.681230107452706e-07,2.3669960439994964e-06
0.040053932587474146,0.002179067416731527,0.9978209325832684,0.9991278025699869,0.9969506357302561,0.9969473089949542,3.3267353019006407e-06,0.04006036108862717,1.7652568225172587e-07,2.425363907118159e-06
0.04104099532207477,0.0022877150608097345,0.9977122849391903,0.9990842851714339,0.9967986650052288,0.9967949981000185,3.6669052103643907e-06,0.04104791102914374,1.8534906607298401e-07,2.4851729691406376e-06
0.04205238258061348,0.002401775929504182,0.9975982240704958,0.9990385965167963,0.9966391296630366,0.9966350878087871,4.0418542495146426e-06,0.04205982242560101,1.9461430389942653e-07,2.5464589601003335e-06
0.04308869380063767,0.002521519329072421,0.9974784806709276,0.998990628273473,0.9964716540947192,0.9964671989571553,4.455137563863509e-06,0.043096697516091645,2.0434360773411077e-07,2.6092585068144004e-06
0.044150543191838976,0.00264722792267911,0.9973527720773209,0.9989402667037183,0.9962958441366117,0.996290933463014,4.910673597646742e-06,0.04415915352334211,2.1456031488635374e-07,2.673609156224028e-06
0.04523856010008803,0.0027791983886628034,0.9972208016113372,0.9988873923949583,0.9961112861635586,0.9961058733823539,5.412781204694461e-06,0.04524782303488607,2.2528894587338553e-07,2.7395493994048368e-06
0.04635338938044069,0.0029177421108122605,0.9970822578891877,0.9988318799766506,0.995917546138821,0.9959115799182771,5.966220543940359e-06,0.04636335439343715,2.3655526539220013e-07,2.8071186962712477e-06
0.04749569177933607,0.0030631859021640773,0.996936814097836,0.9987735978230181,0.995714168618713,0.9957075923805634,6.576238149591518e-06,0.04750641209777499,2.483863465335882e-07,2.876357500999796e-06
0.04866614432621334,0.0032158727639003313,0.9967841272360997,0.99871240774095,0.9955006757099266,0.9954934270933252,7.248616601396307e-06,0.0486776772144725,2.6081063842088856e-07,2.9473072881975885e-06
0.049865440734779304,0.0033761626809940214,0.996623837319006,0.9986481646423319,0.9952765659774232,0.9952685762481615,7.989729261748124e-06,0.04987784780080485,2.7385803746727633e-07,3.020010579843509e-06
0.05109429181416444,0.0035444334563217938,0.9964555665436782,0.9985807162000258,0.9950413133006887,0.9950325067000902,8.80660059843219e-06,0.051107639339194905,2.875599624574763e-07,3.0945109730310036e-06
0.052353425890211296,0.003721081585037566,0.9962789184149624,0.9985099024866875,0.9947943656760666,0.9947846587034062,9.706972660450397e-06,0.05236778518356495,3.019494336727209e-07,3.170853168542938e-06
0.05364358923714477,0.003906523171077365,0.9960934768289227,0.9984355555955613,0.9945351439627997,0.9945244445844645,1.0699378335199405e-05,0.053659037017979555,3.17061156291636e-07,3.249083000290522e-06
0.054965546519880316,0.004101194887744902,0.9958988051122551,0.9983574992423557,0.9942630405703212,0.9942512473482452,1.1793222076006415e-05,0.05498216532798233,3.3293160831459414e-07,3.3292474656499537e-06
0.05632008124723185,0.004305554984408994,0.995694445015591,0.9982755483472551,0.993977418084255,0.9939644192153929,1.2998868862079682e-05,0.05633795988504463,3.495991332750257e-07,3.4113947567323456e-06
0.05770799623628855,0.004520084341428382,0.9954799156585716,0.9981895085960754,0.9936776078284921,0.9936632800862637,1.4327742228426033e-05,0.057727230244566025,3.671040380183204e-07,3.495574292624349e-06
0.059130114088235174,0.004745287575505839,0.9952547124244941,0.9980991759795251,0.9933629083606269,0.993347115928338,1.5792432288885827e-05,0.05915080625788239,3.8548869584734674e-07,3.581836752638975e-06
0.06058727767589829,0.004981694197762795,0.9950183058022372,0.9980043363094783,0.9930325838979432,0.9930151770831739,1.740681476936068e-05,0.060609538598761614,4.0479765535343936e-07,3.670234110618364e-06
0.06208035064330728,0.005229859826916891,0.9947701401730831,0.9979047647111109,0.9926858626710593,0.9926666764888883,1.9186182171004873e-05,0.06210429930488679,4.250777552730111e-07,3.7608196703325257e-06
0.06361021791756619,0.005490367460038591,0.9945096325399614,0.9978002250897002,0.9923219352022485,0.9923007878139507,2.1147388297837466e-05,0.0636359823348514,4.46378245732914e-07,3.853648102020737e-06
0.06517778623333978,0.005763828803458634,0.9942361711965414,0.9976904695708183,0.9919399525053699,0.9919166434978642,2.330900750568965e-05,0.06520550414121562,4.6875091627243216e-07,3.948775480124873e-06
0.06678398467026465,0.006050885666495747,0.9939491143335043,0.9975752379125967,0.9915390242042603,0.9915133326940885,2.5691510171843568e-05,0.06681380426019927,4.922502310564979e-07,4.0462593222669485e-06
0.06842976520360419,0.006352211420773551,0.9936477885792264,0.9974542568886647,0.9911182165663573,0.9910898991103264,2.8317456030935162e-05,0.06846184591861562,5.169334717235738e-07,4.146158629526202e-06
0.07011610326847305,0.006668512527996304,0.9933314874720037,0.9973272396403016,0.9906765504482483,0.9906453387410555,3.121170719277977e-05,0.07015061665867918,5.428608883427982e-07,4.248533928074487e-06
0.07184399833796648,0.007000530139155618,0.9929994698608444,0.9971938849962642,0.9902129991497661,0.9901785974869245,3.440166284163215e-05,0.07188112898135422,5.700958589887257e-07,4.35344731223225e-06
0.07361447451553643,0.00734904176824312,0.9926509582317569,0.9970538767586781,0.9897264861731898,0.9896885686553732,3.791751781656583e-05,0.07365442100894314,5.987050584784728e-07,4.460962489011321e-06
