time,kx,ky,Bx,By,k2,damping_integral,vorticity_amplitude,speed,energy,qxy,production,dissipation,energy_rate,logarithmic_speed_rate,wavelength,pressure_amplitude,heat_reference_speed,inviscid_speed
8.36,1.0,-4.359999999999999,0.6745317568815291,0.15470911855080946,20.009599999999995,57.320618666666654,3.095667578554276,0.6920462429667911,0.1197320006011127,0.052178106770835134,-0.052178106770835134,0.02395789439228024,-0.07613600116311538,-0.3179434102031025,1.4046258764413189,0.015463489380178464,0.4913492994207475,0.9217332562873286
8.370000000000001,1.0,-4.370000000000001,0.6724673975376639,0.1538826996653693,20.09690000000001,57.52115100000002,3.0925652269049615,0.6898494661934448,0.11897307150184518,0.05174054928502042,-0.05174054928502042,0.02390989920665434,-0.07565044849167477,-0.3179309718439162,1.4015717412984856,0.015314073281488113,0.4909318299658933,0.9197290941986467
8.38,1.0,-4.380000000000001,0.67040892358237,0.15306139807816663,20.184400000000007,57.722557333333356,3.0894524833689476,0.687659738824744,0.11821897910012877,0.05130686356379816,-0.05130686356379816,0.023861791617486392,-0.07516865518128456,-0.3179212667604685,1.398530513280789,0.015166306462234852,0.4905147152093076,0.9177334019286412
8.39,1.0,-4.390000000000001,0.668356305823442,0.15224517216934894,20.272100000000005,57.92483966666668,3.0863293547342594,0.6854770192959301,0.11746968599570823,0.05087701042527998,-0.05087701042527998,0.023813572214735977,-0.07469058264001596,-0.3179142857449401,1.3955021130336518,0.015020167833559315,0.49009795484962504,0.915746127403835
8.4,1.0,-4.4,0.6663095152874563,0.15143398074714914,20.360000000000003,58.128,3.083195848011957,0.6833012664173344,0.11672515517188324,0.05045095115484147,-0.05045095115484147,0.023765241592995427,-0.07421619274783689,-0.31791001964636545,1.3924864618311297,0.014875636615633509,0.48968154858573615,0.9137672189632688
8.41,1.0,-4.41,0.6642685232185173,0.15062778304274768,20.4481,58.33204033333333,3.0800519704364087,0.6811324393708487,0.1159853499908207,0.05002864749874261,-0.05002864749874261,0.02371680035147301,-0.07374544785021563,-0.31790845937030826,1.3894834815699308,0.014732692332563678,0.4892654961167874,0.9117966253545748
8.42,1.0,-4.42,0.6622333010770036,0.14982653870520443,20.5364,58.53696266666667,3.07689772946556,0.6789704977064374,0.11525023418893182,0.04961006165784449,-0.04961006165784449,0.023668249093975798,-0.07327831075182029,-0.3179095958785376,1.3864930947635024,0.014591314807386341,0.4888497971421809,0.9098342957300978
8.43,1.0,-4.43,0.6602038205383154,0.14903020779645948,20.624899999999997,58.74276899999999,3.0737331327811965,0.6768154013386841,0.11451977187231101,0.04919515628142079,-0.04919515628142079,0.023619588428892273,-0.07281474471031307,-0.31791342018870394,1.3835152245361806,0.014451484157155622,0.4884344513615741,0.907880179643055
8.44,1.0,-4.4399999999999995,0.658180053491621,0.14823875078640117,20.713599999999996,58.94946133333333,3.0705581882891986,0.6746671105433746,0.1137939275122365,0.0487838944610623,-0.0487838944610623,0.023570818969174612,-0.07235471343023692,-0.31791992337401515,1.3805497946174026,0.014313180788119998,0.4880194584748796,0.9059342270437394
8.45,1.0,-4.449999999999999,0.656161972038605,0.14745212854800116,20.802499999999995,59.15704166666666,3.0673729041197935,0.6725255859541162,0.11307266594073181,0.04837623972467317,-0.04837623972467317,0.023521941332320738,-0.07189818105699392,-0.3179290965629131,1.3775967293359834,0.014176385390986776,0.48760481818226514,0.9039963882757626
