tau,heat_radius,heat_speed,heat_time_angular,heat_minus_viscosity_angular,heat_residual_magnitude,heat_normalized_angular,heat_laplacian_raw_relative_error,gaussian_force_magnitude,gaussian_force_l2,gaussian_angular_normalized
0.012589254117941668,0.6347094861226933,2.228130665342868,1.801069314452474e-05,-1.8010693144524544e-05,1.9651164376299768e-19,5.455415907264468e-15,1.6809797998007525e-10,2229.971381115162,423.2025873393243,1.0
0.01,0.565685424949238,2.500004300758007,2.5440786129277652e-05,-2.5440786129277374e-05,2.778268066994105e-19,5.460263792314276e-15,1.7607604263503163e-10,3149.91829925942,502.97721770989597,1.0
0.007943282347242814,0.5041676656745948,2.8050516071716878,3.593607384690835e-05,-3.5936073846907955e-05,3.9302328752599536e-19,5.468367095419497e-15,3.825140204583022e-10,4449.377860198186,597.7895435982857,1.0
0.00630957344480193,0.4493399050091832,3.147320393213234,5.076106520325975e-05,-5.076106520325919e-05,5.55653613398821e-19,5.473226489375773e-15,2.1728263632780909e-10,6284.913277743192,710.4742041051213,1.0
0.005011872336272719,0.40047461188036254,3.5313523759100014,7.1701926914625e-05,-7.170192691462421e-05,7.860465750519907e-19,5.481349029768304e-15,2.2777357777670204e-10,8877.675969510321,844.4001741154796,1.0
0.003981071705534969,0.3569233735371207,3.962243446754271,0.00010128168710967221,-0.00010128168710967112,1.0977546996415732e-18,5.4193148384904105e-15,2.3113910785355074e-10,12540.050615928536,1003.5714877844539,1.0
0.0031622776601683794,0.3181082915068203,4.445711291358045,0.00014306421856689615,-0.0001430642185668946,1.5449880957918438e-18,5.399631407728352e-15,3.1674840528239656e-10,17713.29230646873,1192.7469486241055,1.0
0.0025118864315095794,0.2835143132335765,4.988171259971088,0.0002020836265493259,-0.00020208362654932372,2.1955093992831465e-18,5.4321803225044154e-15,2.0084223173455484e-10,25020.690421764473,1417.5824052084563,1.0
0.001995262314968879,0.25268239764376965,5.596821495621864,0.000285450775381909,-0.0002854507753819059,3.0899761915836876e-18,5.4124501631666216e-15,2.904809726089752e-10,35342.66461312527,1684.799846165777,1.0
0.0015848931924611126,0.22520342394989382,6.279738449484694,0.00040321003021115295,-0.00040321003021114856,4.391018798566293e-18,5.4450763492500784e-15,2.5388269264681185e-10,49922.84069304949,2002.3883699535718,1.0
