xi,radius,tau,velocity,pressure,radial_transport,radial_pressure_gradient,angular_time,angular_minus_viscosity,angular_normalized_residual
28.840014803546573,2.401666704750956,0.1,0.5888460582859312,-0.1733695044948802,-0.14437460438326472,0.14437460438326472,3.610424981898119e-07,-3.6104249818980824e-07,5.0587252239676455e-15
30.378947870416614,2.4649116767306944,0.1,0.5737373540176971,-0.16458695652552682,-0.13354415677555836,0.13354415677555836,3.3584036983551027e-07,-3.3584036983550693e-07,4.965442706377666e-15
31.99999999999999,2.529822128134703,0.1,0.5590163111677314,-0.1562493146250714,-0.12352616916272723,0.12352616916272723,3.1232460627482393e-07,-3.1232460627482075e-07,5.085051719249835e-15
33.707553150554745,2.5964419173382156,0.1,0.5446729830659314,-0.14833404075653825,-0.11425969381440083,0.11425969381440083,2.9038998812119316e-07,-2.9038998812119025e-07,5.013388676078418e-15
35.50622310617104,2.664816057673439,0.1,0.5306976782549171,-0.14081973861388958,-0.10568835507207575,0.10568835507207575,2.6993709237672387e-07,-2.6993709237672117e-07,5.001012449976853e-15
37.400871953959864,2.7349907478439435,0.1,0.5170809539417717,-0.1336860957842839,-0.09776000636934831,0.09776000636934831,2.508720476363363e-07,-2.508720476363338e-07,4.959020556499685e-15
39.39662122703732,2.807013403139975,0.1,0.5038136096177962,-0.12691382884027438,-0.09042641298120502,0.09042641298120502,2.3310629259722292e-07,-2.3310629259722056e-07,5.053081918774209e-15
41.498865748832294,2.8809326874757866,0.1,0.49088668084197035,-0.12048463121352229,-0.08364295857227373,0.08364295857227373,2.1655633854493897e-07,-2.165563385449368e-07,5.011448618689905e-15
43.713288216140654,2.9567985462706337,0.1,0.47829143318391404,-0.11438112370911967,-0.07736837375872548,0.07736837375872548,2.011435364151604e-07,-2.0114353641515843e-07,4.869069435278023e-15
46.04587456034625,3.0346622401956447,0.1,0.46601935632226393,-0.10858680752675445,-0.07156448503244828,0.07156448503244828,1.8679384895913654e-07,-1.8679384895913472e-07,4.8888515406003676e-15
48.50293012833276,3.114576379809388,0.1,0.45406215829447033,-0.10308601966172488,-0.06619598251998893,0.06619598251998893,1.7343762847174e-07,-1.7343762847173832e-07,4.88378995214594e-15
51.09109672682557,3.1965949611055064,0.1,0.44241175989413417,-0.09786389056524732,-0.061230205163351266,0.061230205163351266,1.610094004743358e-07,-1.6100940047433422e-07,4.931969100633261e-15
53.817370576237714,3.280773401996478,0.1,0.43106028921209655,-0.09290630394960393,-0.056636942015727734,0.056636942015727734,1.4944765368085105e-07,-1.4944765368084962e-07,4.78216975404675e-15
56.68912122255107,3.3671685797581055,0.1,0.42000007631759334,-0.08819985862948007,-0.052388248443283075,0.052388248443283075,1.3869463651483395e-07,-1.3869463651483262e-07,4.7712334569740126e-15
59.71411145835569,3.455838869460082,0.1,0.4092236480758798,-0.08373183229633936,-0.048458276114793225,0.048458276114793225,1.2869616038817985e-07,-1.2869616038817863e-07,4.730560173689122e-15
62.900518306896096,3.546844183408572,0.1,0.39872372309882476,-0.0794901471279146,-0.04482311574482685,0.04482311574482685,1.1940140989882321e-07,-1.1940140989882205e-07,4.87712123107077e-15
66.25695512584814,3.6402460116274598,0.1,0.3884932068250624,-0.07546333713985112,-0.04146065163374636,0.04146065163374636,1.107627600551531e-07,-1.1076276005515202e-07,4.839289276174255e-15
69.79249489057648,3.736107463405636,0.1,0.37852518672637664,-0.07164051719124799,-0.038350427119575065,0.038350427119575065,1.0273560058929701e-07,-1.0273560058929603e-07,4.766516376236678e-15
73.51669471981025,3.8344933099383613,0.1,0.36881292763708146,-0.06801135356031553,-0.03547352012316371,0.03547352012316371,9.52781673797588e-08,-9.52781673797579e-08,4.722868476629051e-15
77.43962171003474,3.9354700280915553,0.1,0.3593498672032385,-0.06456603601060862,-0.03281242802949407,0.03281242802949407,8.835138096614473e-08,-8.835138096614386e-08,4.943345068883066e-15
81.57188014843281,4.03910584531856,0.1,0.3501296114486393,-0.06129525127232755,-0.03035096120475806,0.03035096120475806,8.191869210482034e-08,-8.191869210481955e-08,4.84683878396652e-15
85.92464017793682,4.145470785759727,0.1,0.34114593045455494,-0.05819015786700173,-0.028074144501388724,0.028074144501388724,7.594593428417861e-08,-7.594593428417788e-08,4.7923496228442024e-15
90.50966799187808,4.254636717555991,0.1,0.33239275415033503,-0.05524236220750276,-0.025968126151816644,0.025968126151816644,7.040118309164375e-08,-7.04011830916431e-08,4.6058146451700135e-15
95.33935763985295,4.366677401408374,0.1,0.32386416821201164,-0.052443895908782505,-0.024020093496677563,0.024020093496677563,6.525462230142034e-08,-6.525462230141972e-08,4.766251023311343e-15
100.42676453078413,4.481668540416262,0.1,0.31555441006613644,-0.049787194248001786,-0.022218195034775776,0.022218195034775776,6.047841653213423e-08,-6.047841653213367e-08,4.5955681672013276e-15
105.78564072373905,4.599687831228095,0.1,0.3074578649961516,-0.047265075715825486,-0.020551468320569186,0.020551468320569186,5.604659030671984e-08,-5.60465903067193e-08,4.8408875443197906e-15
111.43047210190386,4.72081501653907,0.1,0.2995690623486627,-0.0448707226036065,-0.019009773270516426,0.019009773270516426,5.1934913332965135e-08,-5.1934913332964645e-08,4.714467505624666e-15
117.3765175301979,4.845131938971279,0.1,0.2918826718370529,-0.042597662573983903,-0.017583730472533938,0.017583730472533938,4.812079181183936e-08,-4.8120791811838914e-08,4.606832012054933e-15
123.63985010238025,4.972722596372741,0.1,0.28439349993993707,-0.04043975116507619,-0.016264664123247726,0.016264664123247726,4.4583165571866836e-08,-4.458316557186641e-08,4.749735333894755e-15
130.2374005891439,5.10367319857265,0.1,0.2770964863920257,-0.03839115518097674,-0.015044549245880386,0.015044549245880386,4.130241082118248e-08,-4.13024108211821e-08,4.646360788554306e-15
137.18700320464546,5.2380722256312096,0.1,0.26998670076502573,-0.03644633692365263,-0.013915962867655889,0.013915962867655889,3.826024830428551e-08,-3.8260248304285144e-08,4.756365753676604e-15
144.50744381518476,5.376010487623415,0.1,0.26305933913626867,-0.03460003922362313,-0.012872038859693874,0.012872038859693874,3.543965664770617e-08,-3.543965664770584e-08,4.668107373475757e-15
152.2185107203483,5.517581185997145,0.1,0.25630972084281567,-0.032847271228953825,-0.011906426164647302,0.011906426164647302,3.2824790677619804e-08,-3.282479067761949e-08,4.7375764460243105e-15
160.3410481438884,5.662879976547065,0.1,0.24973328531884564,-0.03118329491415074,-0.011013250157947371,0.011013250157947371,3.040090449269244e-08,-3.040090449269215e-08,4.78879790712569e-15
168.89701257893054,5.812005034046866,0.1,0.24332558901418933,-0.029603612272486823,-0.010187076907584238,0.010187076907584238,2.8154279076956826e-08,-2.8154279076956555e-08,4.818365978680933e-15
177.90953213981905,5.96505711858351,0.1,0.23708230239192854,-0.028103953157138692,-0.009422880114986269,0.009422880114986269,2.6072154240122594e-08,-2.6072154240122346e-08,4.758988871430185e-15
187.40296908104003,6.1221396436383255,0.1,0.2309992070030301,-0.026680263738266694,-0.008716010535871583,0.008716010535871583,2.4142664676272454e-08,-2.4142664676272235e-08,4.522609344125571e-15
197.40298565221642,6.283358745960896,0.1,0.22507219263604042,-0.025328695544835987,-0.008062167695033937,0.008062167695033937,2.2354779936243347e-08,-2.235477993624314e-08,4.6623029830280066e-15
207.93661346719634,6.448823357283038,0.1,0.21929725453991214,-0.02404559506155624,-0.007457373722980129,0.007457373722980129,2.06982481140045e-08,-2.069824811400431e-08,4.635800601463927e-15
219.03232657474626,6.6186452779212495,0.1,0.21367049071808805,-0.022827493852819444,-0.00689794915524581,0.00689794915524581,1.9163543052909568e-08,-1.916354305290939e-08,4.661742659438112e-15
230.72011842837244,6.792939252317401,0.1,0.20818809929201387,-0.02167109918693884,-0.006380490547156781,0.006380490547156781,1.774181488370175e-08,-1.7741814883701587e-08,4.569075968922719e-15
243.03158296333288,6.971823046568708,0.1,0.20284637593229715,-0.020573285135344732,-0.005901849767847707,0.005901849767847707,1.6424843712497135e-08,-1.642484371249698e-08,4.733985841267013e-15
256.0,7.155417527999327,0.1,0.1976417113557796,-0.019531084122677116,-0.005459114847566862,0.005459114847566862,1.520499628357174e-08,-1.5204996283571597e-08,4.678562977119656e-15
