x,y,wx,wy
0.0,1.718058482431918,-0.8885820927557071,0.869655019653295
0.0,1.7671458676442586,-0.9219638711935487,0.9219638711935487
0.0,1.8162332528565992,-0.8155250220301777,0.8340857665038726
0.0,1.8653206380689396,-0.5911689256527183,0.6250018756820771
0.0,1.9144080232812801,-0.2876209016560447,0.331114566195048
0.0,1.9634954084936207,0.04619397662556382,5.185929914671507e-16
0.0,2.012582793705961,0.35899499236976234,-0.3172361320934575
0.0,2.061670178918302,0.6049562748156652,-0.5737756494909984
0.0,2.110757564130642,0.7503038577497172,-0.733891931324085
0.0,2.1598449493429825,0.7777719067921594,-0.7777719067921592
0.0,2.2089323345553233,0.6883690637781544,-0.7037377745305796
0.0,2.2580197197676637,0.5003432172429773,-0.5276732639180212
0.0,2.3071071049800045,0.24565815904920907,-0.27988563801454164
0.0,2.356194490192345,-0.035355339059326855,-5.269586259918935e-16
0.0,2.405281875404685,-0.30028552308173545,0.2692635444188438
0.0,2.454369260617026,-0.510895597444762,0.4884664077861961
0.0,2.5034566458293663,-0.6384509457587664,0.6270527330337333
0.0,2.552544031041707,-0.6674121550789818,0.6674121550789818
0.0,2.6016314162540475,-0.5970674394830353,0.606904369619844
0.0,2.650718801466388,-0.4409953871272705,0.45766177858921414
0.0,2.6998061866787286,-0.22455627216752186,0.24430674215958129
0.0,2.748893571891069,0.019134171618253953,5.404534479625911e-16
0.0,2.7979809571034093,0.25412038854319124,-0.23855810653020118
0.0,2.84706834231575,0.446706294139736,-0.43644318095167706
0.0,2.8961557275280905,0.5700519486843048,-0.5654027242222013
0.0,2.945243112740431,0.6076858878387078,-0.6076858878387078
0.0,2.9943304979527716,0.555519993792467,-0.5583275598723237
0.0,3.043417883165112,0.4221606044512945,-0.4256260336812718
0.0,3.0925052683774528,0.22752781199963756,-0.2297944430005891
0.0,3.141592653589793,5.817072295949927e-16,-5.878304635907295e-16
0.0,3.1906800388021335,-0.22752781199963648,0.22979444300058802
0.0,3.2397674240144743,-0.4221606044512937,0.425626033681271
0.0,3.2888548092268146,-0.5555199937924664,0.5583275598723232
0.0,3.3379421944391554,-0.6076858878387078,0.6076858878387078
0.0,3.3870295796514958,-0.5700519486843051,0.5654027242222017
0.0,3.436116964863836,-0.44670629413973667,0.4364431809516778
0.0,3.485204350076177,-0.25412038854319235,0.23855810653020235
0.0,3.5342917352885173,-0.019134171618255178,6.948687188090457e-16
0.0,3.5833791205008576,0.2245562721675207,-0.24430674215958012
0.0,3.6324665057131984,0.4409953871272695,-0.45766177858921314
