eta,Y,X,Phi,U,Pi,F_decimal,pressure_increment_decimal,log10_F,V0_over_X,angular_relative,axial_relative,pressure_relative
0.0,0.82,0.0016015625,0.9967359854031891,0.02007408224295107,-99.99999999998404,0.00009967359854031890933675675,1.59635830862288046117384e-11,-4.001419862016057,-4.248443757820692,8.830705452379875e-53,9.28112902823539e-54,5.963072740400106e-53
0.0,0.8883333333333333,0.0017350260416666666,0.9964609992955438,0.020080437630062994,-99.9999999999827,0.00009964609992955437227258171,1.728915450978534701821464e-11,-4.001539694577339,-4.26916587404465,5.1256294974730914e-52,5.353300812982787e-53,3.4711984758933514e-52
0.0,0.9566666666666666,0.0018684895833333331,0.9961855551375403,0.020086821035972445,-99.99999999998138,0.00009961855551375402995390444,1.861399390947699193610397e-11,-4.001659759902913,-4.289890876939118,2.6109536983378457e-51,2.7099875578902846e-52,1.7733150514587168e-51
0.0,1.025,0.002001953125,0.9959096531821662,0.02009323246914905,-99.99999999998006,0.00009959096531821661439584123,1.993810026999111816151364e-11,-4.001780058066405,-4.3106187761925865,1.188454194044873e-50,1.225937916891664e-51,8.095070816989563e-51
0.0,1.0933333333333333,0.0021354166666666665,0.9956332936833732,0.020099671938076484,-99.99999999997874,0.00009956332936833731309707463,2.126147257769970148599335e-11,-4.001900589141376,-4.331349581495886,4.904674064943047e-50,5.0284931406069796e-51,3.350401293452445e-50
0.0,1.1616666666666666,0.0022688802083333333,0.9953564768960769,0.020106139451252475,-99.99999999997742,0.00009953564768960768159104059,2.258410982066281887727556e-11,-4.0020213532013145,-4.352083302542187,1.857145783499255e-49,1.892512413218979e-50,1.2722666817955844e-49
0.0,1.23,0.00240234375,0.9950792030761556,0.0201126350171888,-99.9999999999761,0.00009950792030761555599220201,2.39060109886321262336732e-11,-4.002142350319642,-4.372819949027014,6.515795176591319e-49,6.600063711591125e-50,4.476536076867325e-49
0.0,1.2983333333333333,0.0025358072916666667,0.9948014724804497,0.02011915864441131,-99.99999999997478,0.0000994801472480449651758436,2.522717507305432715398244e-11,-4.002263580569712,-4.393559530648238,2.1357848216202722e-48,2.1505457745214105e-49,1.4715387710493143e-48
0.0,1.3666666666666667,0.0026692708333333334,0.9945232853667604,0.020125710341459938,-99.99999999997345,0.00009945232853667604218426305,2.654760106707465201914995e-11,-4.00238504402481,-4.414302057106085,6.586390957128602e-48,6.5928215842397654e-49,4.5509107969204755e-48
0.0,1.4349999999999998,0.0028027343749999997,0.9942446419938493,0.02013229011688869,-99.99999999997213,0.00009942446419938493595688181,2.786728796554029515926043e-11,-4.00250674075815,-4.435047538103144,1.9223159145114057e-47,1.9129470234753327e-48,1.3320154170057957e-47
