eta,Pi0_over_P_squared,first_eta_derivative,second_eta_derivative,initial_branch_only
-0.45999999999999996,-2.257956520578025,-3.4290524908084894,-0.3568494489264873,-1.7030267881481542
-0.43999999999999995,-2.3265719293354326,-3.430602040575035,0.20903010239916217,-1.7547788383442706
-0.42000000000000004,-2.3951023259333826,-3.4204113461136374,0.8168758173471297,-1.8064667695090604
-0.4,-2.463304644615529,-3.39766157878004,1.4645093011982924,-1.8579072532699163
-0.38,-2.5309199310835337,-3.361585368094173,2.1489558590347966,-1.9089049775812088
-0.36,-2.5976745335931546,-3.3114831164785263,2.8664081115253226,-1.9592535450890387
-0.33999999999999997,-2.6632816265735615,-3.2467398818035527,3.6122061199489055,-2.0087366222961927
-0.31999999999999995,-2.7274430746186447,-3.1668424669011834,4.380837048280396,-2.057129345447115
-0.29999999999999993,-2.789851636894754,-3.0713962974988114,5.165957075303814,-2.1041999831664007
-0.28,-2.850193503125936,-2.960141620457204,5.960437769042694,-2.1497118491841967
-0.26,-2.9081511425558935,-2.832968516540023,6.7564384455049975,-2.1934254511191797
-0.24,-2.9634064369211766,-2.68993019992845,7.545505162431673,-2.235100853472366
-0.21999999999999997,-3.015644057850564,-2.531254073739504,8.318695969158822,-2.274500224975366
-0.19999999999999996,-3.06455503864151,-2.3573500297242376,9.066730883554762,-2.3113905325443787
-0.17999999999999994,-3.109840480514493,-2.168815523024442,9.780163848500168,-2.3455463366619327
-0.16000000000000003,-3.1512153246950767,-1.9664370200905317,10.449572698413993,-2.3767526364081077
-0.14,-3.1884121145080324,-1.7511875089490958,11.065762015020484,-2.4048077069585205
-0.12,-3.2211846665456854,-1.524219873759788,11.619972749483136,-2.42952586850302
-0.09999999999999998,-3.2493115672920854,-1.286856066254291,12.104091712292838,-2.4507401235173023
-0.07999999999999996,-3.2725994116535895,-1.040572149969344,12.510853551896933,-2.468304599371653
-0.05999999999999994,-3.290885702855389,-0.7869794426916027,12.834027712288336,-2.4820967355304875
-0.040000000000000036,-3.304041339163505,-0.5278021308567903,13.06858311226876,-2.492019159121763
-0.020000000000000018,-3.311972621781612,-0.26485186899493124,13.210823933273751,-2.49800119936032
0.0,-3.314622729794656,-0.0,13.258490919178625,-2.5
0.020000000000000018,-3.311972621781612,0.26485186899493124,13.210823933273751,-2.49800119936032
0.040000000000000036,-3.304041339163505,0.5278021308567903,13.06858311226876,-2.492019159121763
0.06000000000000005,-3.290885702855389,0.7869794426916041,12.834027712288336,-2.4820967355304875
0.08000000000000007,-3.2725994116535895,1.0405721499693457,12.51085355189693,-2.468304599371653
0.10000000000000009,-3.2493115672920854,1.2868560662542925,12.104091712292837,-2.4507401235173023
0.1200000000000001,-3.2211846665456854,1.5242198737597894,11.619972749483134,-2.42952586850302
0.14000000000000012,-3.1884121145080324,1.7511875089490971,11.065762015020482,-2.4048077069585205
0.15999999999999992,-3.1512153246950767,1.9664370200905303,10.449572698413997,-2.3767526364081077
0.17999999999999994,-3.109840480514493,2.168815523024442,9.780163848500168,-2.3455463366619327
0.19999999999999996,-3.06455503864151,2.3573500297242376,9.066730883554762,-2.3113905325443787
0.21999999999999997,-3.015644057850564,2.531254073739504,8.318695969158822,-2.274500224975366
0.24,-2.9634064369211766,2.68993019992845,7.545505162431673,-2.235100853472366
0.26,-2.9081511425558935,2.832968516540023,6.7564384455049975,-2.1934254511191797
0.28,-2.850193503125936,2.960141620457204,5.960437769042694,-2.1497118491841967
0.30000000000000004,-2.789851636894754,3.0713962974988114,5.16595707530381,-2.1041999831664
0.32000000000000006,-2.727443074618644,3.1668424669011843,4.380837048280393,-2.057129345447115
0.3400000000000001,-2.6632816265735615,3.2467398818035527,3.612206119948902,-2.0087366222961918
0.3600000000000001,-2.597674533593154,3.311483116478525,2.8664081115253186,-1.959253545089038
0.3800000000000001,-2.5309199310835333,3.3615853680941736,2.1489558590347926,-1.9089049775812088
0.40000000000000013,-2.463304644615529,3.397661578780041,1.464509301198288,-1.8579072532699163
0.41999999999999993,-2.395102325933383,3.4204113461136374,0.8168758173471341,-1.8064667695090613
0.43999999999999995,-2.3265719293354326,3.430602040575035,0.20903010239916217,-1.7547788383442706
0.45999999999999996,-2.257956520578025,3.4290524908084894,-0.3568494489264873,-1.7030267881481542
0.48,-2.1894824038549,3.4166175352742263,-0.8793310193190599,-1.6513813051587778
0.5,-2.12135854706858,3.3941736753097285,-1.3576694701238923,-1.6
0.52,-2.053776281535378,3.362606002513844,-1.7917392960498115,-1.5490271811888914
0.54,-1.9869092493993499,3.322796514944716,-2.181963232288233,-1.4985938154735636
0.56,-1.9209135702813889,3.275613883549262,-2.5292390130937634,-1.448817653525527
0.5800000000000001,-1.855928197938808,3.221904683641152,-2.834866437680318,-1.3998034989443466
0.6000000000000001,-1.7920754378215051,3.1624860667438335,-3.100476536023367,-1.3516435986159168
0.6200000000000001,-1.729461597238641,3.0981398159143523,-3.327964263397017,-1.3044181330900533
0.6400000000000001,-1.6681777412496084,3.0296077026099586,-3.519425803791012,-1.2581957866988933
0.6600000000000001,-1.6083005292258679,2.9575880448288463,-3.6771012403307055,-1.2130343785199829
0.6799999999999999,-1.5498931091674342,2.8827333540313327,-3.803323063305594,-1.1689815368998657
0.7,-1.493006049184567,2.8056489514877767,-3.9004707379264394,-1.1260754020089185
0.72,-1.437678287972185,2.726892432402458,-3.9709313462130393,-1.0843453427211385
0.74,-1.3839380885285826,2.646973857614761,-4.0170661499710585,-1.0438126759408892
0.76,-1.3318039817341747,2.566356557094252,-4.041182792477871,-1.0044913782817457
0.78,-1.2812856886583315,2.4854584360942513,-4.045512761929726,-0.9663887817013402
0.8,-1.2323850125649376,2.4046536830535366,-4.032193675851968,-0.9295062462819749
0.8200000000000001,-1.1850966935144642,2.3242747875672345,-4.003255908139762,-0.8938398048002599
0.8400000000000001,-1.1394092201968726,2.244614786504158,-3.960613064724126,-0.8593807750388083
0.8600000000000001,-1.095305595169189,2.165929666234772,-3.9060558157591805,-0.8261163369541635
0.8800000000000001,-1.0527640510147218,2.0884408586405665,-3.841248607734054,-0.794030072828184
