radius,delta_U,delta_E
2.8380666666666667,0.0,0.0
2.84,0.0,0.0
2.8419333333333334,0.0,0.0
2.843866666666667,0.0,0.0
2.8458,0.0,0.0
2.8477333333333332,0.0,0.0
2.849666666666667,0.0,0.0
2.8516000000000004,0.0,0.0
2.8535333333333335,0.0,0.0
2.8554666666666666,0.0,0.0
2.8574,0.0,0.0
2.8593333333333337,0.0,0.0
2.861266666666667,0.0,0.0
2.8632,0.0,0.0
2.8651333333333335,0.0,0.0
2.8670666666666667,0.0,0.0
2.8689999999999998,0.0,0.0
2.8709333333333333,0.0,0.0
2.872866666666667,0.0,0.0
2.8748,0.0,0.0
2.876733333333333,0.0,0.0
2.8786666666666667,0.0,0.0
2.8806000000000003,-3.395217689413314e-42,0.0
2.8825333333333334,-4.715282407381929e-09,0.0
2.8844666666666665,-0.0001332669505965253,0.0
2.8864,-0.00769312062416169,0.0
2.8883333333333336,-0.06757127815491723,0.0
2.8902666666666668,-0.2616081049242991,0.0
2.8922,-0.6590201394134292,0.0
2.8941333333333334,-1.2885197434890872,0.0
2.896066666666667,-2.1426509416080664,0.0
2.898,-3.1925403140011013,0.0
2.8999333333333333,-4.400606807533647,0.0
2.901866666666667,-5.72851867551148,0.0
2.9038000000000004,-7.141274935082466,0.0
2.9057333333333335,-8.608838701360037,0.0
2.9076666666666666,-10.106424119480412,0.0
2.9096,-11.614129421696019,0.0
2.9115333333333333,-13.116307821991757,0.0
2.9134666666666664,-14.60088069477896,0.0
2.9154,-16.0586902873224,0.0
2.9173333333333336,-17.482931313495676,0.0
2.9192666666666667,-18.868671218520525,0.0
2.9212,-20.21245493555275,0.0
2.9231333333333334,-21.51198423675231,0.0
2.925066666666667,-22.76586023771704,0.0
2.927,-23.973378043122118,0.0
2.928933333333333,-25.134363767895206,0.0
2.9308666666666667,-26.249045649268954,0.0
2.9328000000000003,-27.317952404240415,0.0
2.9347333333333334,-28.341833268413183,0.0
2.9366666666666665,-29.321595241008666,0.0
2.9386,-30.258253960696884,0.0
2.9405333333333337,-31.152895367867412,0.0
2.942466666666667,-32.006645896215915,0.0
2.9444,-32.8206494049918,0.0
2.9463333333333335,-33.5960494353124,0.0
2.948266666666667,-34.333975668658674,0.0
2.9502,-35.03553369878067,0.0
2.9521333333333333,-35.701797412536436,0.0
2.954066666666667,-36.33380342090564,0.0
2.9560000000000004,-36.932547096695345,0.0
2.9579333333333335,-37.498979866721456,0.0
2.9598666666666666,-38.03400747857693,0.0
2.9618,-38.53848901948309,0.0
2.9637333333333333,-39.01323651029843,0.0
2.9656666666666665,-39.45901493400072,0.0
2.9676,-39.876542586798486,0.0
2.9695333333333336,-40.266491663010676,0.0
2.9714666666666667,-40.629489003169994,0.0
2.9734,-40.966116949417284,0.0
2.9753333333333334,-41.2769142639112,0.0
2.977266666666667,-41.56237707528036,0.0
2.9792,-41.82295982556203,0.0
2.981133333333333,-42.059076195983835,0.0
2.9830666666666668,-42.271099994650775,0.0
2.9850000000000003,-42.459365992941294,0.0
2.9869333333333334,-42.624170700382145,0.0
2.9888666666666666,-42.76577307011834,0.0
2.9908,-42.88439512894526,0.0
2.9927333333333337,-42.980222527326795,0.0
2.994666666666667,-43.05340500596485,0.0
2.9966,-43.10405677638122,0.0
2.9985333333333335,-43.13225681367736,0.0
3.000466666666667,-43.13804906019722,0.0
3.0024,-43.12144253927346,0.0
3.0043333333333333,-43.08241137862193,0.0
3.006266666666667,-43.020894743297305,0.0
3.0082,-42.936796678462166,0.0
3.010133333333333,-42.82998586258325,0.0
3.0120666666666667,-42.70029527208405,0.0
3.0140000000000002,-42.54752175898314,0.0
3.0159333333333334,-42.37142554367197,0.0
3.0178666666666665,-42.17172962577631,0.0
3.0198,-41.94811911705282,0.0
3.0217333333333336,-41.70024050155648,0.0
3.0236666666666667,-41.4277008299496,0.0
3.0256,-41.13006685690013,0.0
3.0275333333333334,-40.80686413314588,0.0
3.029466666666667,-40.457576067119454,0.0
3.0314,-40.08164297520874,0.0
3.033333333333333,-39.67846114498319,0.0
3.035266666666667,-39.24738194231404,0.0
3.0372000000000003,-38.787711001590296,0.0
3.0391333333333335,-38.298707548604916,0.0
